delivery_id,order_id,driver_id,delivery_distance_km,preparation_time_minutes,traffic_condition,weather,delivery_time_minutes,tip_amount
DL00121,O00121,D0217,8.01,27,Medium,Clear,68.9,30.73
DL00122,O00122,D0224,6.36,32,High,Clear,89.2,7.26
DL00123,O00123,D0084,8.9,33,Medium,Clear,84.0,48.62
DL00124,O00124,D0015,13.58,41,Medium,Rainy,121.5,29.77
DL00125,O00125,D0194,14.87,42,High,Clear,126.8,169.84
DL00126,O00126,D0254,8.01,17,High,Clear,67.3,40.92
DL00127,O00127,D0245,3.45,24,Low,Cloudy,44.7,77.37
DL00128,O00128,D0030,1.71,41,Medium,Clear,67.9,195.06
DL00129,O00129,D0460,3.23,40,Low,Rainy,75.3,60.4
DL00130,O00130,D0167,11.45,13,Low,Cloudy,63.1,208.47
DL00131,O00131,D0320,9.32,23,High,Clear,78.9,20.88
DL00132,O00132,D0235,11.48,23,High,Clear,83.3,74.51
DL00133,O00133,D0246,14.36,22,Medium,Cloudy,89.1,91.26
DL00134,O00134,D0185,10.9,40,High,Rainy,114.9,140.87
DL00135,O00135,D0495,11.89,27,Low,Rainy,93.2,87.34
DL00136,O00136,D0319,6.98,29,Medium,Clear,70.0,7.26
DL00137,O00137,D0007,8.16,33,Low,Clear,73.1,130.29
DL00138,O00138,D0086,12.53,25,High,Cloudy,92.9,183.15
DL00139,O00139,D0328,9.95,20,High,Clear,80.3,16.56
DL00140,O00140,D0215,8.5,31,Medium,Clear,73.2,23.62
DL00141,O00141,D0023,4.1,25,High,Rainy,81.1,15.68
DL00142,O00142,D0332,9.44,12,High,Cloudy,80.2,42.54
DL00143,O00143,D0262,5.08,23,Low,Cloudy,60.7,60.62
DL00144,O00144,D0186,9.26,44,Medium,Clear,98.6,56.0
DL00145,O00145,D0014,7.49,28,Low,Clear,56.1,113.47
DL00146,O00146,D0284,2.42,20,Medium,Cloudy,56.0,18.72
DL00147,O00147,D0261,13.0,43,Medium,Cloudy,102.9,18.65
DL00148,O00148,D0452,9.14,23,Medium,Rainy,89.3,122.84
DL00149,O00149,D0056,13.64,11,High,Cloudy,81.3,98.84
DL00150,O00150,D0121,13.98,23,Medium,Clear,86.6,57.93
DL00151,O00151,D0153,8.25,35,High,Cloudy,90.2,72.01
DL00152,O00152,D0411,10.49,22,Medium,Clear,78.5,37.34
DL00153,O00153,D0444,13.54,28,Low,Cloudy,78.7,7.02
DL00154,O00154,D0132,10.52,23,Medium,Rainy,91.7,24.8
DL00155,O00155,D0029,4.42,34,Medium,Cloudy,75.5,50.88
DL00156,O00156,D0233,4.62,20,Low,Clear,41.1,72.74
DL00157,O00157,D0111,6.86,44,Low,Cloudy,77.4,143.47
DL00158,O00158,D0114,1.53,43,Medium,Cloudy,74.2,58.91
DL00159,O00159,D0475,6.19,13,High,Clear,66.1,111.18
DL00160,O00160,D0263,3.01,42,Medium,Rainy,94.3,79.82
DL00161,O00161,D0416,12.58,19,Low,Clear,71.4,116.58
DL00162,O00162,D0404,11.95,32,Medium,Clear,93.3,130.65
DL00163,O00163,D0320,3.45,17,High,Rainy,74.9,50.98
DL00164,O00164,D0368,4.99,21,Medium,Cloudy,60.2,109.97
DL00165,O00165,D0043,8.98,27,Low,Rainy,81.3,177.74
DL00166,O00166,D0356,4.49,12,Medium,Clear,45.5,33.56
DL00167,O00167,D0414,1.78,13,High,Clear,51.0,32.68
DL00168,O00168,D0316,11.71,30,Medium,Clear,73.6,257.45
DL00169,O00169,D0477,2.28,18,Medium,Rainy,67.3,12.82
DL00170,O00170,D0156,10.49,37,Low,Rainy,103.4,35.12
DL00171,O00171,D0040,3.1,24,Low,Clear,37.0,58.33
DL00172,O00172,D0323,1.11,36,Low,Clear,54.1,189.76
DL00173,O00173,D0475,8.87,13,Low,Clear,55.2,70.13
DL00174,O00174,D0469,4.99,35,Low,Cloudy,65.9,248.13
DL00175,O00175,D0293,2.82,11,Medium,Clear,29.5,136.31
DL00176,O00176,D0355,10.59,30,Medium,Clear,80.4,88.73
DL00177,O00177,D0315,10.02,27,Medium,Clear,73.7,95.87
DL00178,O00178,D0276,6.76,11,Medium,Cloudy,63.8,231.27
DL00179,O00179,D0447,2.24,16,High,Clear,52.7,51.21
DL00180,O00180,D0201,7.52,29,Low,Cloudy,68.2,59.47
DL00181,O00181,D0163,2.46,25,Low,Clear,46.6,36.81
DL00182,O00182,D0314,14.92,23,Low,Clear,77.0,33.6
DL00183,O00183,D0377,4.29,41,High,Clear,80.6,214.03
DL00184,O00184,D0138,1.04,24,Low,Clear,41.4,44.61
DL00185,O00185,D0241,4.08,39,Low,Clear,62.7,102.83
DL00186,O00186,D0059,9.67,16,Low,Clear,53.9,92.48
DL00187,O00187,D0373,14.67,33,Medium,Clear,94.3,162.61
DL00188,O00188,D0149,8.36,26,Medium,Rainy,74.8,13.07
DL00189,O00189,D0299,7.23,26,High,Clear,84.5,23.78
DL00190,O00190,D0233,14.89,14,High,Cloudy,98.8,37.6
DL00191,O00191,D0299,3.31,10,Low,Clear,39.8,151.84
DL00192,O00192,D0216,3.77,30,Medium,Rainy,83.1,19.39
DL00193,O00193,D0359,6.33,39,Medium,Rainy,97.9,68.71
DL00194,O00194,D0129,11.47,13,Low,Rainy,74.4,20.22
DL00195,O00195,D0174,5.24,14,Medium,Cloudy,51.3,24.86
DL00196,O00196,D0127,7.58,30,Medium,Clear,76.2,20.21
DL00197,O00197,D0363,14.15,29,Low,Clear,81.6,242.73
DL00198,O00198,D0415,13.22,29,Low,Clear,85.8,26.71
DL00199,O00199,D0063,14.26,26,Low,Clear,79.4,115.19
DL00200,O00200,D0430,3.34,18,High,Clear,58.1,128.55
DL00201,O00201,D0151,7.75,41,Medium,Rainy,94.9,8.52
DL00202,O00202,D0274,10.98,32,Medium,Clear,91.4,45.86
DL00203,O00203,D0446,11.26,29,Low,Clear,68.5,201.54
DL00204,O00204,D0283,8.7,18,Low,Cloudy,62.4,95.65
DL00205,O00205,D0489,12.49,35,Low,Clear,89.2,169.63
DL00206,O00206,D0044,1.6,26,Low,Clear,41.1,51.29
DL00207,O00207,D0174,3.76,29,High,Clear,71.8,31.31
DL00208,O00208,D0061,5.59,40,High,Rainy,94.7,106.1
DL00209,O00209,D0140,11.2,27,Medium,Rainy,88.9,195.57
DL00210,O00210,D0227,13.62,30,High,Clear,95.1,5.82
DL00211,O00211,D0361,8.4,36,Medium,Rainy,100.5,13.22
DL00212,O00212,D0272,10.91,35,Medium,Rainy,97.9,225.93
DL00213,O00213,D0405,9.32,24,Medium,Clear,76.5,127.93
DL00214,O00214,D0475,13.94,40,High,Clear,105.6,114.07
DL00215,O00215,D0100,13.6,28,High,Rainy,113.3,164.91
DL00216,O00216,D0117,12.31,13,Medium,Clear,66.9,228.13
DL00217,O00217,D0192,4.91,16,High,Cloudy,64.2,73.13
DL00218,O00218,D0123,6.22,26,Medium,Cloudy,76.3,262.23
DL00219,O00219,D0269,6.83,19,High,Clear,58.9,97.75
DL00220,O00220,D0434,1.06,23,Medium,Cloudy,58.9,208.42
DL00221,O00221,D0128,4.24,27,High,Cloudy,77.0,49.8
DL00222,O00222,D0008,10.99,18,Medium,Clear,65.0,227.87
DL00223,O00223,D0440,8.62,25,Medium,Cloudy,79.8,134.13
DL00224,O00224,D0184,14.41,18,Low,Clear,68.4,31.09
DL00225,O00225,D0136,1.41,20,Low,Rainy,48.2,51.18
DL00226,O00226,D0464,6.3,36,Medium,Clear,82.0,80.98
DL00227,O00227,D0215,10.9,39,Medium,Cloudy,90.4,212.64
DL00228,O00228,D0173,2.87,23,High,Cloudy,66.2,59.3
DL00229,O00229,D0354,7.99,23,Low,Clear,60.8,22.43
DL00230,O00230,D0152,1.22,38,High,Clear,67.9,104.32
DL00231,O00231,D0374,3.52,20,Medium,Clear,40.9,248.55
DL00232,O00232,D0021,14.13,24,Low,Cloudy,76.7,59.65
DL00233,O00233,D0141,9.39,23,Medium,Clear,73.5,7.59
DL00234,O00234,D0306,11.63,36,Medium,Cloudy,84.9,77.78
DL00235,O00235,D0435,2.43,12,Low,Clear,19.4,124.7
DL00236,O00236,D0004,4.28,21,High,Clear,65.8,230.92
DL00237,O00237,D0221,3.69,23,High,Clear,58.6,114.31
DL00238,O00238,D0382,4.85,26,Low,Clear,55.5,6.55
DL00239,O00239,D0444,4.62,26,Low,Cloudy,57.5,65.98
DL00240,O00240,D0196,8.89,43,Medium,Clear,87.8,134.07
DL00241,O00241,D0149,10.88,39,High,Cloudy,110.4,128.14
DL00242,O00242,D0418,8.68,32,Medium,Cloudy,83.6,40.46
DL00243,O00243,D0073,5.19,34,Medium,Clear,69.3,32.12
DL00244,O00244,D0409,10.73,41,High,Clear,104.6,85.07
DL00245,O00245,D0105,8.73,32,High,Clear,86.6,46.66
DL00246,O00246,D0341,9.94,25,Medium,Cloudy,81.5,46.33
DL00247,O00247,D0132,3.96,41,Medium,Rainy,81.2,242.24
DL00248,O00248,D0320,14.43,19,Low,Clear,83.5,56.84
DL00249,O00249,D0336,5.59,43,High,Clear,95.2,190.14
DL00250,O00250,D0025,6.18,42,Medium,Cloudy,87.6,48.54
DL00251,O00251,D0424,8.57,37,Medium,Clear,88.4,23.05
DL00252,O00252,D0007,1.7,16,Medium,Clear,46.9,8.09
DL00253,O00253,D0382,3.68,11,Low,Cloudy,36.8,43.3
DL00254,O00254,D0173,12.38,44,Low,Clear,87.0,89.67
DL00255,O00255,D0005,12.11,16,Medium,Cloudy,71.1,34.06
DL00256,O00256,D0296,2.99,22,High,Cloudy,70.0,215.73
DL00257,O00257,D0277,9.26,12,High,Clear,77.1,58.56
DL00258,O00258,D0162,1.93,34,Medium,Clear,57.2,158.45
DL00259,O00259,D0432,2.04,16,Low,Cloudy,38.9,150.63
DL00260,O00260,D0406,12.19,36,High,Clear,108.3,55.98
DL00261,O00261,D0091,7.59,31,Medium,Clear,77.5,81.67
DL00262,O00262,D0498,13.97,37,Low,Cloudy,96.9,206.68
DL00263,O00263,D0252,7.69,14,Low,Cloudy,63.8,77.63
DL00264,O00264,D0061,12.3,11,High,Clear,76.1,193.24
DL00265,O00265,D0202,9.94,33,High,Clear,92.6,155.13
DL00266,O00266,D0489,7.03,41,Low,Clear,67.8,23.31
DL00267,O00267,D0335,8.77,31,Low,Clear,61.8,96.04
DL00268,O00268,D0119,14.08,15,High,Rainy,103.5,78.66
DL00269,O00269,D0387,2.06,32,Low,Cloudy,47.3,155.11
DL00270,O00270,D0111,8.41,23,Medium,Clear,57.0,204.23
DL00271,O00271,D0205,1.73,24,Medium,Clear,46.9,23.72
DL00272,O00272,D0474,8.78,15,Low,Rainy,65.1,12.67
DL00273,O00273,D0056,9.5,31,Medium,Clear,85.4,16.11
DL00274,O00274,D0193,12.3,33,High,Cloudy,96.9,244.09
DL00275,O00275,D0367,12.17,23,Medium,Clear,73.0,9.46
DL00276,O00276,D0073,1.14,34,Medium,Clear,54.2,162.65
DL00277,O00277,D0167,2.0,36,High,Clear,70.0,43.36
DL00278,O00278,D0026,10.58,23,High,Clear,78.3,118.47
DL00279,O00279,D0274,3.56,30,Low,Clear,51.1,36.96
DL00280,O00280,D0328,8.39,26,Medium,Rainy,87.8,43.35
DL00281,O00281,D0015,4.24,23,Medium,Clear,48.4,128.82
DL00282,O00282,D0302,12.68,42,Medium,Clear,102.8,8.03
DL00283,O00283,D0278,10.53,18,Medium,Clear,72.9,18.03
DL00284,O00284,D0422,7.1,27,Medium,Clear,61.9,34.22
DL00285,O00285,D0302,4.14,20,Medium,Clear,58.8,119.28
DL00286,O00286,D0004,10.23,38,Low,Rainy,98.4,126.45
DL00287,O00287,D0021,5.92,14,Low,Cloudy,43.5,76.78
DL00288,O00288,D0464,9.25,33,Medium,Cloudy,81.8,22.66
DL00289,O00289,D0046,10.35,14,High,Clear,67.1,34.14
DL00290,O00290,D0089,2.93,19,Medium,Clear,40.6,55.36
DL00291,O00291,D0279,1.69,11,Low,Clear,23.4,40.71
DL00292,O00292,D0273,7.91,32,Medium,Rainy,89.8,143.76
DL00293,O00293,D0096,3.22,41,Medium,Clear,72.6,17.69
DL00294,O00294,D0240,2.26,10,High,Rainy,66.1,193.44
DL00295,O00295,D0066,2.25,41,High,Clear,72.2,14.7
DL00296,O00296,D0385,10.83,27,Medium,Rainy,94.3,68.43
DL00297,O00297,D0239,13.67,25,Low,Clear,78.6,145.82
DL00298,O00298,D0457,14.05,25,High,Clear,100.7,116.29
DL00299,O00299,D0493,14.1,33,High,Clear,102.3,133.58
DL00300,O00300,D0218,10.39,28,High,Clear,91.5,32.49
DL00301,O00301,D0433,13.96,10,Low,Clear,64.6,36.97
DL00302,O00302,D0291,2.85,20,Medium,Clear,55.9,55.6
DL00303,O00303,D0060,9.42,28,Low,Clear,65.8,82.35
DL00304,O00304,D0262,11.64,14,Low,Clear,58.0,77.24
DL00305,O00305,D0374,14.2,30,Low,Clear,79.0,158.14
DL00306,O00306,D0425,5.6,29,High,Rainy,86.0,13.0
DL00307,O00307,D0201,9.19,27,Low,Clear,62.4,90.91
DL00308,O00308,D0084,6.65,43,Medium,Rainy,91.6,16.15
DL00309,O00309,D0433,8.54,32,High,Rainy,100.2,157.54
DL00310,O00310,D0026,8.05,28,Low,Cloudy,60.5,281.98
DL00311,O00311,D0233,12.9,19,High,Clear,81.2,158.86
DL00312,O00312,D0162,12.54,43,Medium,Clear,95.9,40.04
DL00313,O00313,D0239,6.53,30,Medium,Cloudy,76.7,116.27
DL00314,O00314,D0074,4.93,24,Medium,Clear,61.8,144.06
DL00315,O00315,D0490,12.91,31,Low,Cloudy,84.2,31.02
DL00316,O00316,D0222,14.37,26,Low,Rainy,94.4,226.0
DL00317,O00317,D0260,1.26,16,Medium,Rainy,57.6,123.22
DL00318,O00318,D0359,8.01,34,Medium,Clear,76.0,69.55
DL00319,O00319,D0226,11.8,31,Low,Rainy,92.4,121.82
DL00320,O00320,D0265,14.8,19,Medium,Clear,78.5,223.2
DL00321,O00321,D0069,8.43,25,Medium,Rainy,87.3,75.72
DL00322,O00322,D0490,11.07,22,Medium,Clear,74.4,7.38
DL00323,O00323,D0009,14.07,44,Medium,Clear,107.7,64.29
DL00324,O00324,D0281,6.25,39,Medium,Clear,76.0,22.17
DL00325,O00325,D0040,13.39,14,Medium,Clear,80.9,104.39
DL00326,O00326,D0195,4.73,15,Medium,Clear,55.6,23.81
DL00327,O00327,D0281,11.16,29,Medium,Rainy,103.8,78.56
DL00328,O00328,D0307,14.38,15,High,Clear,79.8,182.88
DL00329,O00329,D0377,10.08,14,Medium,Clear,66.1,15.24
DL00330,O00330,D0146,6.27,16,Medium,Clear,63.1,118.64
DL00331,O00331,D0494,2.09,24,Medium,Clear,50.5,65.68
DL00332,O00332,D0443,3.81,27,Low,Clear,49.9,10.48
DL00333,O00333,D0459,11.21,36,Medium,Rainy,105.8,40.86
DL00334,O00334,D0343,14.86,32,High,Clear,117.4,250.53
DL00335,O00335,D0187,12.9,38,Medium,Cloudy,105.2,205.79
DL00336,O00336,D0162,12.08,33,Low,Clear,84.4,196.79
DL00337,O00337,D0309,1.26,34,Medium,Cloudy,62.5,19.74
DL00338,O00338,D0482,11.27,29,Low,Clear,76.0,42.03
DL00339,O00339,D0303,12.59,30,Medium,Cloudy,91.0,171.61
DL00340,O00340,D0408,5.55,11,Low,Cloudy,51.7,43.38
DL00341,O00341,D0061,15.0,29,Medium,Clear,89.3,57.03
DL00342,O00342,D0242,1.5,20,High,Clear,48.7,25.95
DL00343,O00343,D0240,6.48,11,High,Clear,54.3,137.35
DL00344,O00344,D0057,3.98,24,Medium,Rainy,72.7,133.13
DL00345,O00345,D0194,14.62,35,High,Clear,118.6,24.19
DL00346,O00346,D0333,10.41,12,High,Cloudy,78.5,105.06
DL00347,O00347,D0404,6.83,27,Medium,Clear,79.5,26.17
DL00348,O00348,D0071,14.62,29,High,Cloudy,114.9,158.63
DL00349,O00349,D0457,1.86,33,Low,Clear,51.7,144.83
DL00350,O00350,D0371,4.07,25,High,Cloudy,66.5,36.54
DL00351,O00351,D0162,6.92,32,High,Cloudy,91.8,98.08
DL00352,O00352,D0054,2.74,19,Low,Cloudy,54.1,192.08
DL00353,O00353,D0065,14.96,31,Medium,Cloudy,106.3,172.47
DL00354,O00354,D0245,9.03,29,Medium,Cloudy,86.4,152.01
DL00355,O00355,D0200,3.27,19,Low,Rainy,49.8,21.46
DL00356,O00356,D0435,4.48,35,Medium,Clear,70.6,25.39
DL00357,O00357,D0373,6.55,31,Medium,Clear,79.0,125.91
DL00358,O00358,D0297,11.17,21,Low,Cloudy,73.2,38.01
DL00359,O00359,D0385,5.26,16,Medium,Clear,45.6,26.7
DL00360,O00360,D0153,5.17,42,Medium,Cloudy,84.7,56.4
DL00361,O00361,D0241,9.76,27,Low,Clear,66.6,33.52
DL00362,O00362,D0221,1.64,20,Low,Clear,33.4,17.56
DL00363,O00363,D0052,10.97,21,High,Clear,86.8,42.65
DL00364,O00364,D0337,8.67,41,Medium,Clear,84.5,31.86
DL00365,O00365,D0248,7.08,19,Medium,Clear,62.3,28.07
DL00366,O00366,D0071,6.5,40,Low,Clear,67.4,68.96
DL00367,O00367,D0483,4.1,12,Medium,Cloudy,46.5,68.23
DL00368,O00368,D0144,4.36,21,Medium,Cloudy,54.6,109.27
DL00369,O00369,D0277,8.0,25,Medium,Clear,67.6,39.96
DL00370,O00370,D0386,3.78,38,Medium,Clear,70.6,68.07
DL00371,O00371,D0218,8.95,10,High,Cloudy,73.8,32.87
DL00372,O00372,D0325,10.1,37,Medium,Cloudy,90.5,68.98
DL00373,O00373,D0005,7.41,17,Medium,Cloudy,68.1,71.34
DL00374,O00374,D0073,2.5,43,Medium,Cloudy,86.7,55.95
DL00375,O00375,D0495,14.13,25,Low,Clear,83.3,143.75
DL00376,O00376,D0437,12.67,35,Low,Clear,82.2,33.35
DL00377,O00377,D0240,14.35,31,High,Rainy,119.1,25.73
DL00378,O00378,D0402,6.16,34,High,Clear,87.5,33.27
DL00379,O00379,D0275,1.45,33,Medium,Clear,57.8,275.86
DL00380,O00380,D0191,7.11,16,High,Rainy,85.7,32.61
DL00381,O00381,D0006,7.51,30,High,Clear,80.8,16.9
DL00382,O00382,D0319,10.89,10,High,Clear,80.4,112.02
DL00383,O00383,D0411,11.29,11,High,Clear,75.3,34.6
DL00384,O00384,D0497,6.95,26,High,Rainy,92.6,13.87
DL00385,O00385,D0438,14.68,37,High,Cloudy,121.3,74.59
DL00386,O00386,D0415,2.57,28,Medium,Clear,54.4,23.12
DL00387,O00387,D0448,13.63,39,Medium,Cloudy,104.6,165.72
DL00388,O00388,D0405,11.78,23,Medium,Clear,82.0,57.03
DL00389,O00389,D0014,8.46,38,High,Clear,91.2,193.33
DL00390,O00390,D0208,11.68,11,High,Rainy,88.8,223.92
DL00391,O00391,D0002,11.56,20,Low,Cloudy,68.0,208.5
DL00392,O00392,D0402,3.33,41,Medium,Cloudy,75.4,118.65
DL00393,O00393,D0018,8.45,44,Low,Rainy,91.5,37.89
DL00394,O00394,D0035,7.59,18,Low,Cloudy,54.4,206.17
DL00395,O00395,D0462,7.92,43,Medium,Clear,90.5,9.25
DL00396,O00396,D0250,3.36,18,Medium,Clear,57.0,140.21
DL00397,O00397,D0082,6.39,18,Medium,Clear,57.9,4.05
DL00398,O00398,D0339,8.26,12,Medium,Clear,55.7,47.58
