payment_id,order_id,payment_method,payment_status,payment_amount
P00089,O00089,UPI,Completed,662.29
P00090,O00090,UPI,Completed,762.05
P00091,O00091,Debit Card,Completed,1087.21
P00092,O00092,UPI,Completed,1879.73
P00093,O00093,UPI,Completed,1496.8
P00094,O00094,Cash,Completed,1196.51
P00095,O00095,UPI,Completed,409.34
P00096,O00096,Debit Card,Completed,383.77
P00097,O00097,Debit Card,Completed,1054.17
P00098,O00098,UPI,Completed,1484.55
P00099,O00099,UPI,Completed,1526.92
P00100,O00100,UPI,Completed,529.24
P00101,O00101,UPI,Completed,290.19
P00102,O00102,UPI,Refunded,830.48
P00103,O00103,UPI,Failed,1844.53
P00104,O00104,UPI,Completed,1136.2
P00105,O00105,UPI,Completed,708.19
P00106,O00106,UPI,Completed,714.91
P00107,O00107,UPI,Completed,350.97
P00108,O00108,Cash,Completed,999.13
P00109,O00109,Debit Card,Completed,1603.59
P00110,O00110,Debit Card,Completed,1940.26
P00111,O00111,UPI,Completed,1053.03
P00112,O00112,Credit Card,Completed,417.71
P00113,O00113,Credit Card,Completed,1397.61
P00114,O00114,UPI,Completed,1537.9
P00115,O00115,UPI,Completed,236.23
P00116,O00116,UPI,Completed,1715.26
P00117,O00117,UPI,Completed,1675.71
P00118,O00118,UPI,Completed,997.83
P00119,O00119,UPI,Completed,1164.8
P00120,O00120,Debit Card,Completed,1455.48
P00121,O00121,Debit Card,Completed,1385.82
P00122,O00122,Debit Card,Completed,131.42
P00123,O00123,UPI,Completed,332.63
P00124,O00124,UPI,Failed,408.92
P00125,O00125,Debit Card,Completed,1535.78
P00126,O00126,Debit Card,Completed,936.16
P00127,O00127,UPI,Failed,1136.45
P00128,O00128,Credit Card,Completed,1568.11
P00129,O00129,Debit Card,Completed,747.87
P00130,O00130,Cash,Completed,1522.89
P00131,O00131,UPI,Completed,940.37
P00132,O00132,Credit Card,Completed,816.64
P00133,O00133,Cash,Refunded,732.77
P00134,O00134,UPI,Completed,1933.4
P00135,O00135,UPI,Failed,1566.75
P00136,O00136,UPI,Completed,138.37
P00137,O00137,UPI,Completed,1919.09
P00138,O00138,UPI,Completed,1573.34
P00139,O00139,UPI,Completed,383.43
P00140,O00140,Credit Card,Completed,245.04
P00141,O00141,UPI,Failed,685.57
P00142,O00142,UPI,Completed,1285.94
P00143,O00143,Credit Card,Completed,1271.44
P00144,O00144,UPI,Completed,624.12
P00145,O00145,UPI,Completed,946.78
P00146,O00146,UPI,Completed,502.59
P00147,O00147,Cash,Completed,196.1
P00148,O00148,UPI,Completed,1082.24
P00149,O00149,Credit Card,Refunded,759.28
P00150,O00150,Credit Card,Completed,1131.48
P00151,O00151,Credit Card,Completed,1898.36
P00152,O00152,Debit Card,Completed,372.4
P00153,O00153,UPI,Completed,103.73
P00154,O00154,Credit Card,Completed,246.07
P00155,O00155,UPI,Completed,979.15
P00156,O00156,UPI,Completed,1443.17
P00157,O00157,Cash,Completed,1203.45
P00158,O00158,Credit Card,Completed,1040.3
P00159,O00159,UPI,Completed,772.53
P00160,O00160,Cash,Completed,688.95
P00161,O00161,UPI,Failed,814.94
P00162,O00162,UPI,Completed,1262.11
P00163,O00163,UPI,Completed,418.73
P00164,O00164,Credit Card,Completed,1565.59
P00165,O00165,UPI,Completed,1192.98
P00166,O00166,UPI,Completed,611.4
P00167,O00167,UPI,Completed,1052.19
P00168,O00168,Credit Card,Completed,1929.28
P00169,O00169,UPI,Completed,138.93
P00170,O00170,Debit Card,Completed,479.09
P00171,O00171,Cash,Completed,951.92
P00172,O00172,UPI,Completed,1313.04
P00173,O00173,UPI,Completed,503.23
P00174,O00174,Debit Card,Completed,1869.67
P00175,O00175,UPI,Completed,1320.89
P00176,O00176,Debit Card,Completed,1767.12
P00177,O00177,UPI,Completed,725.7
P00178,O00178,UPI,Completed,1675.01
P00179,O00179,Debit Card,Completed,818.62
P00180,O00180,Credit Card,Completed,580.23
P00181,O00181,UPI,Completed,1832.15
P00182,O00182,Cash,Completed,275.22
P00183,O00183,Cash,Completed,1891.49
P00184,O00184,Debit Card,Completed,971.18
P00185,O00185,Debit Card,Completed,1985.99
P00186,O00186,UPI,Completed,1125.23
P00187,O00187,UPI,Completed,1539.23
P00188,O00188,UPI,Completed,113.43
P00189,O00189,UPI,Completed,1043.67
P00190,O00190,UPI,Completed,1501.16
P00191,O00191,UPI,Completed,1587.37
P00192,O00192,Credit Card,Completed,400.29
P00193,O00193,UPI,Completed,896.04
P00194,O00194,Credit Card,Completed,896.24
P00195,O00195,Credit Card,Completed,296.92
P00196,O00196,UPI,Completed,941.79
P00197,O00197,Cash,Completed,1633.48
P00198,O00198,Debit Card,Completed,670.34
P00199,O00199,Debit Card,Completed,921.89
P00200,O00200,Cash,Completed,1925.82
P00201,O00201,UPI,Completed,160.25
P00202,O00202,UPI,Completed,1223.89
P00203,O00203,UPI,Completed,1512.53
P00204,O00204,UPI,Failed,1545.68
P00205,O00205,Credit Card,Completed,1460.28
P00206,O00206,Cash,Completed,1480.26
P00207,O00207,Cash,Completed,212.12
P00208,O00208,Credit Card,Completed,1114.86
P00209,O00209,UPI,Refunded,1587.64
P00210,O00210,Credit Card,Completed,278.72
P00211,O00211,Debit Card,Completed,122.89
P00212,O00212,Debit Card,Completed,1647.67
P00213,O00213,Cash,Failed,1453.36
P00214,O00214,UPI,Completed,883.19
P00215,O00215,Cash,Completed,1886.75
P00216,O00216,UPI,Completed,1556.54
P00217,O00217,Credit Card,Completed,1938.94
P00218,O00218,Credit Card,Completed,1865.7
P00219,O00219,UPI,Completed,1014.46
P00220,O00220,UPI,Completed,1533.95
P00221,O00221,UPI,Completed,1371.46
P00222,O00222,UPI,Completed,1641.75
P00223,O00223,Debit Card,Completed,1596.61
P00224,O00224,UPI,Completed,391.14
P00225,O00225,Debit Card,Completed,544.1
P00226,O00226,UPI,Completed,604.89
P00227,O00227,UPI,Completed,1655.15
P00228,O00228,UPI,Completed,1640.41
P00229,O00229,Cash,Completed,1041.14
P00230,O00230,Debit Card,Completed,1203.58
P00231,O00231,UPI,Completed,1671.15
P00232,O00232,UPI,Completed,693.93
P00233,O00233,UPI,Completed,195.34
P00234,O00234,Credit Card,Completed,1016.93
P00235,O00235,UPI,Completed,1836.06
P00236,O00236,Credit Card,Completed,1601.89
P00237,O00237,UPI,Completed,796.57
P00238,O00238,UPI,Completed,223.07
P00239,O00239,UPI,Completed,1310.15
P00240,O00240,Debit Card,Completed,1685.53
P00241,O00241,Credit Card,Completed,1363.4
P00242,O00242,UPI,Failed,907.64
P00243,O00243,Debit Card,Completed,334.37
P00244,O00244,UPI,Refunded,1830.47
P00245,O00245,UPI,Completed,624.32
P00246,O00246,UPI,Completed,526.15
P00247,O00247,Credit Card,Completed,1650.36
P00248,O00248,UPI,Refunded,1964.32
P00249,O00249,UPI,Completed,1354.3
P00250,O00250,Cash,Completed,1287.14
P00251,O00251,Credit Card,Completed,706.92
P00252,O00252,UPI,Completed,138.79
P00253,O00253,Debit Card,Completed,464.42
P00254,O00254,Debit Card,Completed,1210.42
P00255,O00255,Cash,Completed,387.5
P00256,O00256,UPI,Completed,1779.29
P00257,O00257,UPI,Completed,457.47
P00258,O00258,UPI,Completed,1092.0
P00259,O00259,Credit Card,Completed,1072.83
P00260,O00260,Cash,Completed,1247.5
P00261,O00261,Credit Card,Completed,722.12
P00262,O00262,UPI,Failed,1759.71
P00263,O00263,UPI,Completed,944.17
P00264,O00264,Debit Card,Completed,1430.29
P00265,O00265,Credit Card,Completed,1308.23
P00266,O00266,UPI,Completed,322.6
P00267,O00267,Credit Card,Completed,1283.01
P00268,O00268,Credit Card,Completed,1146.34
P00269,O00269,Cash,Completed,1807.35
P00270,O00270,Debit Card,Completed,1773.67
P00271,O00271,Debit Card,Completed,386.81
P00272,O00272,Cash,Completed,255.2
P00273,O00273,Credit Card,Completed,659.73
P00274,O00274,Credit Card,Completed,1974.56
P00275,O00275,UPI,Completed,140.99
P00276,O00276,UPI,Completed,1378.5
P00277,O00277,Credit Card,Completed,1256.18
P00278,O00278,Cash,Completed,1328.5
P00279,O00279,Credit Card,Completed,514.74
P00280,O00280,Credit Card,Completed,530.76
P00281,O00281,Credit Card,Completed,918.22
P00282,O00282,Cash,Completed,282.13
P00283,O00283,UPI,Completed,241.77
P00284,O00284,Cash,Completed,267.88
P00285,O00285,Credit Card,Completed,1188.66
P00286,O00286,UPI,Completed,855.71
P00287,O00287,UPI,Completed,657.87
P00288,O00288,UPI,Completed,700.06
P00289,O00289,UPI,Completed,493.84
P00290,O00290,UPI,Completed,881.86
P00291,O00291,Cash,Completed,485.81
P00292,O00292,Credit Card,Completed,1426.29
P00293,O00293,Cash,Completed,335.47
P00294,O00294,UPI,Completed,1901.66
P00295,O00295,Credit Card,Completed,270.66
P00296,O00296,Credit Card,Completed,1892.58
P00297,O00297,UPI,Completed,1683.26
P00298,O00298,Cash,Completed,1393.35
P00299,O00299,Credit Card,Completed,1833.37
P00300,O00300,UPI,Completed,364.52
P00301,O00301,UPI,Completed,435.0
P00302,O00302,Debit Card,Completed,579.09
P00303,O00303,Credit Card,Completed,565.14
P00304,O00304,UPI,Completed,690.61
P00305,O00305,Debit Card,Completed,1193.7
P00306,O00306,Cash,Completed,153.53
P00307,O00307,Credit Card,Completed,826.32
P00308,O00308,UPI,Completed,568.13
P00309,O00309,Debit Card,Completed,1252.6
P00310,O00310,Credit Card,Completed,1971.82
P00311,O00311,UPI,Completed,1083.54
P00312,O00312,Credit Card,Failed,908.8
P00313,O00313,Debit Card,Refunded,799.66
P00314,O00314,UPI,Completed,1591.4
P00315,O00315,UPI,Completed,236.76
P00316,O00316,UPI,Completed,1923.56
P00317,O00317,Credit Card,Completed,894.04
P00318,O00318,UPI,Completed,696.03
P00319,O00319,Debit Card,Completed,1950.73
P00320,O00320,UPI,Completed,1878.17
P00321,O00321,Credit Card,Completed,1319.67
P00322,O00322,Debit Card,Completed,135.16
P00323,O00323,Credit Card,Completed,1522.22
P00324,O00324,Credit Card,Completed,737.56
P00325,O00325,Debit Card,Completed,837.73
P00326,O00326,UPI,Completed,401.61
P00327,O00327,Credit Card,Completed,1094.57
P00328,O00328,Debit Card,Failed,1514.65
P00329,O00329,UPI,Completed,618.72
P00330,O00330,UPI,Completed,1883.59
P00331,O00331,UPI,Completed,470.0
P00332,O00332,Debit Card,Completed,225.9
P00333,O00333,Cash,Completed,1324.29
P00334,O00334,Credit Card,Completed,1713.71
P00335,O00335,UPI,Completed,1910.95
P00336,O00336,UPI,Failed,1557.62
P00337,O00337,UPI,Completed,479.34
P00338,O00338,UPI,Completed,1957.56
P00339,O00339,Credit Card,Completed,1846.93
P00340,O00340,UPI,Completed,410.02
P00341,O00341,UPI,Completed,1161.69
P00342,O00342,UPI,Completed,1155.48
P00343,O00343,UPI,Completed,940.82
P00344,O00344,Credit Card,Completed,1970.13
P00345,O00345,UPI,Completed,213.28
P00346,O00346,UPI,Completed,1291.7
P00347,O00347,UPI,Completed,490.08
P00348,O00348,Debit Card,Completed,1101.93
P00349,O00349,UPI,Completed,1581.51
P00350,O00350,Debit Card,Completed,568.78
P00351,O00351,UPI,Completed,847.38
P00352,O00352,Debit Card,Failed,1906.46
P00353,O00353,Credit Card,Completed,1546.81
P00354,O00354,Debit Card,Completed,1188.17
P00355,O00355,Credit Card,Completed,521.8
P00356,O00356,UPI,Completed,908.08
P00357,O00357,UPI,Completed,1570.72
P00358,O00358,UPI,Completed,1659.03
P00359,O00359,Credit Card,Completed,564.75
P00360,O00360,Credit Card,Completed,1357.91
P00361,O00361,Credit Card,Completed,280.51
P00362,O00362,Credit Card,Refunded,144.1
P00363,O00363,UPI,Completed,1142.48
P00364,O00364,Debit Card,Completed,526.32
P00365,O00365,Debit Card,Completed,249.93
P00366,O00366,Credit Card,Completed,1486.67
P00367,O00367,Debit Card,Completed,1046.15
P00368,O00368,UPI,Completed,1612.93
P00369,O00369,Credit Card,Completed,1361.49
P00370,O00370,UPI,Completed,1486.63
P00371,O00371,Credit Card,Failed,683.99
P00372,O00372,Cash,Completed,600.22
P00373,O00373,UPI,Completed,1241.66
P00374,O00374,UPI,Completed,480.16
P00375,O00375,Debit Card,Completed,1649.28
P00376,O00376,UPI,Completed,1093.55
P00377,O00377,UPI,Completed,531.28
P00378,O00378,UPI,Refunded,1287.82
P00379,O00379,Credit Card,Completed,1895.57
P00380,O00380,Credit Card,Completed,255.98
P00381,O00381,Cash,Completed,307.76
P00382,O00382,Credit Card,Completed,1703.29
P00383,O00383,Credit Card,Completed,308.23
P00384,O00384,Credit Card,Completed,174.81
P00385,O00385,Debit Card,Completed,761.07
P00386,O00386,UPI,Completed,986.74
P00387,O00387,UPI,Completed,1181.94
P00388,O00388,Debit Card,Completed,1063.87
P00389,O00389,UPI,Completed,1835.05
P00390,O00390,Debit Card,Failed,1560.47
P00391,O00391,UPI,Completed,1969.24
P00392,O00392,Debit Card,Completed,1005.27
P00393,O00393,Credit Card,Completed,260.23
P00394,O00394,UPI,Completed,1915.51
P00395,O00395,Debit Card,Completed,107.82
P00396,O00396,UPI,Completed,1574.58
P00397,O00397,UPI,Completed,159.44
P00398,O00398,UPI,Completed,1546.31
P00399,O00399,UPI,Completed,1882.08
P00400,O00400,Credit Card,Completed,839.59
P00401,O00401,UPI,Completed,557.83
P00402,O00402,UPI,Completed,529.93
P00403,O00403,UPI,Failed,1034.26
P00404,O00404,UPI,Completed,424.69
P00405,O00405,Debit Card,Completed,1378.55
P00406,O00406,Debit Card,Completed,799.87
P00407,O00407,Cash,Completed,713.91
P00408,O00408,Cash,Completed,976.44
P00409,O00409,UPI,Completed,1130.92
P00410,O00410,Credit Card,Completed,369.67
P00411,O00411,UPI,Completed,1444.75
P00412,O00412,UPI,Completed,1777.6
P00413,O00413,UPI,Completed,628.18
P00414,O00414,UPI,Completed,442.74
P00415,O00415,Credit Card,Completed,1544.96
P00416,O00416,UPI,Completed,448.73
P00417,O00417,UPI,Completed,178.38
P00418,O00418,UPI,Completed,1276.56
P00419,O00419,Credit Card,Completed,555.53
P00420,O00420,Debit Card,Completed,426.44
P00421,O00421,Credit Card,Completed,1965.05
P00422,O00422,Credit Card,Completed,654.54
P00423,O00423,Debit Card,Completed,1816.54
P00424,O00424,Credit Card,Completed,438.62
P00425,O00425,UPI,Completed,1656.06
P00426,O00426,Credit Card,Completed,1053.84
P00427,O00427,Cash,Completed,249.33
P00428,O00428,Debit Card,Completed,1493.85
P00429,O00429,Credit Card,Completed,1794.94
P00430,O00430,Debit Card,Completed,409.73
P00431,O00431,UPI,Completed,1478.62
P00432,O00432,Debit Card,Completed,945.6
P00433,O00433,Credit Card,Completed,1532.35
P00434,O00434,UPI,Completed,1456.46
P00435,O00435,Debit Card,Completed,150.54
P00436,O00436,Cash,Completed,439.57
P00437,O00437,Debit Card,Completed,994.95
P00438,O00438,Debit Card,Completed,1873.83
P00439,O00439,Debit Card,Completed,749.94
P00440,O00440,UPI,Completed,1294.86
P00441,O00441,Debit Card,Completed,122.96
P00442,O00442,Credit Card,Completed,1451.14
P00443,O00443,UPI,Completed,1245.83
P00444,O00444,UPI,Completed,1459.25
P00445,O00445,Debit Card,Completed,1818.86
P00446,O00446,Credit Card,Completed,378.35
P00447,O00447,Credit Card,Completed,597.02
P00448,O00448,Credit Card,Completed,1991.98
P00449,O00449,Debit Card,Completed,396.94
P00450,O00450,Cash,Completed,1469.19
P00451,O00451,Credit Card,Completed,1477.64
P00452,O00452,Debit Card,Failed,1397.69
P00453,O00453,Debit Card,Completed,532.14
P00454,O00454,Credit Card,Refunded,508.75
P00455,O00455,UPI,Completed,1366.05
P00456,O00456,UPI,Completed,453.88
P00457,O00457,UPI,Completed,1356.97
P00458,O00458,UPI,Completed,1035.8
P00459,O00459,UPI,Completed,834.59
P00460,O00460,Credit Card,Completed,670.44
P00461,O00461,UPI,Completed,1900.4
P00462,O00462,Credit Card,Completed,1065.38
P00463,O00463,Debit Card,Completed,1166.38
P00464,O00464,Credit Card,Completed,1903.59
P00465,O00465,UPI,Completed,1342.37
P00466,O00466,UPI,Completed,1919.92
P00467,O00467,UPI,Completed,302.1
P00468,O00468,Credit Card,Completed,1708.62
P00469,O00469,Debit Card,Completed,737.29
P00470,O00470,UPI,Completed,1639.93
P00471,O00471,UPI,Completed,1725.71
P00472,O00472,UPI,Completed,615.83
P00473,O00473,Debit Card,Completed,876.78
P00474,O00474,Debit Card,Completed,1479.43
P00475,O00475,UPI,Completed,288.21
P00476,O00476,UPI,Completed,1535.51
P00477,O00477,Cash,Completed,309.9
P00478,O00478,Debit Card,Completed,1837.47
P00479,O00479,Debit Card,Completed,625.04
P00480,O00480,Credit Card,Completed,1193.64
P00481,O00481,Debit Card,Completed,322.59
P00482,O00482,Debit Card,Completed,612.04
P00483,O00483,Debit Card,Completed,867.51
P00484,O00484,Credit Card,Completed,1025.39
P00485,O00485,Credit Card,Completed,100.13
P00486,O00486,Credit Card,Completed,1788.45
P00487,O00487,UPI,Completed,114.58
P00488,O00488,Cash,Completed,1570.0
P00489,O00489,UPI,Completed,994.1
P00490,O00490,UPI,Completed,1095.37
P00491,O00491,Credit Card,Refunded,495.7
P00492,O00492,Credit Card,Completed,1254.0
P00493,O00493,Credit Card,Completed,1120.74
P00494,O00494,Credit Card,Completed,412.05
P00495,O00495,UPI,Completed,552.43
P00496,O00496,Cash,Completed,227.12
P00497,O00497,UPI,Completed,225.94
P00498,O00498,UPI,Completed,126.17
P00499,O00499,Debit Card,Completed,518.9
P00500,O00500,UPI,Completed,1391.36
P00501,O00501,Credit Card,Completed,700.81
P00502,O00502,Cash,Completed,751.2
P00503,O00503,UPI,Completed,350.62
P00504,O00504,Credit Card,Completed,1193.39
P00505,O00505,Cash,Failed,750.07
P00506,O00506,Debit Card,Completed,1385.0
P00507,O00507,UPI,Completed,1508.77
P00508,O00508,Credit Card,Completed,1210.92
P00509,O00509,Cash,Completed,624.53
P00510,O00510,Debit Card,Completed,1066.35
P00511,O00511,Credit Card,Completed,578.67
P00512,O00512,UPI,Completed,1815.53
P00513,O00513,Credit Card,Failed,1556.13
P00514,O00514,Cash,Completed,1036.71
P00515,O00515,Credit Card,Completed,1934.37
P00516,O00516,UPI,Completed,1138.84
P00517,O00517,Debit Card,Completed,724.22
P00518,O00518,UPI,Completed,281.39
P00519,O00519,Credit Card,Failed,1133.12
P00520,O00520,Cash,Completed,1734.79
P00521,O00521,Cash,Failed,1746.77
P00522,O00522,Credit Card,Failed,1248.68
P00523,O00523,UPI,Completed,847.53
P00524,O00524,UPI,Completed,1335.56
P00525,O00525,UPI,Completed,1548.07
P00526,O00526,UPI,Completed,882.09
P00527,O00527,UPI,Completed,1004.88
P00528,O00528,Debit Card,Completed,1393.17
P00529,O00529,UPI,Completed,1765.64
P00530,O00530,Cash,Completed,1602.92
P00531,O00531,UPI,Completed,142.54
P00532,O00532,Debit Card,Failed,336.31
P00533,O00533,UPI,Completed,1720.28
P00534,O00534,Credit Card,Completed,1684.26
P00535,O00535,Credit Card,Completed,838.73
P00536,O00536,UPI,Completed,1210.13
P00537,O00537,Debit Card,Completed,1821.11
P00538,O00538,UPI,Completed,1831.96
P00539,O00539,UPI,Completed,1587.88
P00540,O00540,Credit Card,Completed,498.22
P00541,O00541,UPI,Completed,1487.54
P00542,O00542,Debit Card,Completed,292.09
P00543,O00543,UPI,Completed,1798.48
P00544,O00544,Credit Card,Completed,383.38
P00545,O00545,UPI,Completed,1358.46
P00546,O00546,Credit Card,Completed,1259.46
P00547,O00547,UPI,Completed,1576.11
P00548,O00548,UPI,Completed,1148.0
P00549,O00549,Credit Card,Completed,213.18
P00550,O00550,UPI,Refunded,1441.11
P00551,O00551,UPI,Failed,827.99
P00552,O00552,Debit Card,Completed,708.54
P00553,O00553,Debit Card,Completed,1984.18
P00554,O00554,UPI,Completed,1221.76
P00555,O00555,Debit Card,Completed,1450.37
P00556,O00556,UPI,Completed,1100.02
P00557,O00557,UPI,Completed,1562.95
P00558,O00558,Credit Card,Completed,1528.94
P00559,O00559,Cash,Completed,1348.58
P00560,O00560,UPI,Refunded,1995.71
P00561,O00561,UPI,Completed,973.61
P00562,O00562,Cash,Completed,1441.77
P00563,O00563,UPI,Completed,1615.78
P00564,O00564,UPI,Completed,814.47
P00565,O00565,Debit Card,Failed,968.63
P00566,O00566,UPI,Completed,1941.42
P00567,O00567,UPI,Completed,161.35
P00568,O00568,UPI,Completed,737.06
P00569,O00569,Credit Card,Completed,1023.8
P00570,O00570,UPI,Completed,102.78
P00571,O00571,UPI,Completed,1808.34
P00572,O00572,Debit Card,Completed,643.86
P00573,O00573,Credit Card,Completed,589.64
P00574,O00574,Credit Card,Completed,1658.62
P00575,O00575,UPI,Completed,628.17
P00576,O00576,Cash,Completed,1349.48
P00577,O00577,Credit Card,Completed,1660.86
P00578,O00578,UPI,Completed,1605.71
P00579,O00579,UPI,Completed,1585.71
P00580,O00580,Debit Card,Completed,268.41
P00581,O00581,UPI,Completed,251.71
P00582,O00582,Credit Card,Completed,682.86
P00583,O00583,UPI,Completed,168.3
P00584,O00584,UPI,Failed,1050.82
P00585,O00585,UPI,Completed,850.09
P00586,O00586,Credit Card,Completed,1158.35
P00587,O00587,Credit Card,Completed,667.7
P00588,O00588,UPI,Completed,1022.93
P00589,O00589,UPI,Completed,736.02
P00590,O00590,Credit Card,Completed,470.9
P00591,O00591,Cash,Completed,1333.8
P00592,O00592,UPI,Completed,1379.53
P00593,O00593,UPI,Completed,1675.54
P00594,O00594,Credit Card,Completed,1762.03
P00595,O00595,Credit Card,Completed,1438.48
P00596,O00596,Credit Card,Completed,1406.25
P00597,O00597,UPI,Failed,207.68
P00598,O00598,Credit Card,Completed,308.58
P00599,O00599,Credit Card,Completed,1643.87
P00600,O00600,UPI,Completed,542.61
P00601,O00601,UPI,Completed,775.57
P00602,O00602,UPI,Completed,376.06
P00603,O00603,Credit Card,Completed,470.79
P00604,O00604,Debit Card,Completed,1573.29
P00605,O00605,Credit Card,Completed,597.53
P00606,O00606,UPI,Completed,953.17
P00607,O00607,Debit Card,Completed,388.18
P00608,O00608,UPI,Completed,1388.07
P00609,O00609,Credit Card,Completed,1483.71
P00610,O00610,Credit Card,Completed,787.22
P00611,O00611,Cash,Completed,1591.02
P00612,O00612,UPI,Failed,555.82
P00613,O00613,Debit Card,Completed,1414.62
P00614,O00614,Credit Card,Completed,1486.93
P00615,O00615,UPI,Completed,1940.45
P00616,O00616,Debit Card,Completed,541.41
P00617,O00617,Credit Card,Completed,278.05
P00618,O00618,UPI,Completed,599.77
P00619,O00619,Debit Card,Completed,333.44
P00620,O00620,UPI,Completed,422.42
P00621,O00621,Debit Card,Completed,734.82
P00622,O00622,Cash,Completed,886.58
P00623,O00623,UPI,Completed,1817.08
P00624,O00624,Credit Card,Completed,471.67
P00625,O00625,Debit Card,Completed,1946.34
P00626,O00626,Credit Card,Completed,1639.29
P00627,O00627,UPI,Completed,1774.8
P00628,O00628,UPI,Completed,1865.94
P00629,O00629,UPI,Refunded,1531.16
P00630,O00630,Credit Card,Completed,1598.68
P00631,O00631,UPI,Completed,931.85
P00632,O00632,Debit Card,Completed,1069.86
P00633,O00633,Debit Card,Completed,1871.72
P00634,O00634,Credit Card,Completed,818.69
P00635,O00635,UPI,Completed,179.7
P00636,O00636,Credit Card,Completed,1549.23
P00637,O00637,UPI,Completed,1189.0
P00638,O00638,Credit Card,Completed,1648.26
P00639,O00639,Credit Card,Completed,243.55
P00640,O00640,UPI,Completed,1280.34
P00641,O00641,Debit Card,Refunded,570.64
P00642,O00642,Credit Card,Completed,1816.21
P00643,O00643,Credit Card,Completed,308.83
P00644,O00644,UPI,Completed,1701.83
P00645,O00645,UPI,Completed,268.25
P00646,O00646,UPI,Completed,147.68
P00647,O00647,Credit Card,Completed,546.61
P00648,O00648,Credit Card,Completed,732.78
P00649,O00649,Credit Card,Completed,1290.4
P00650,O00650,UPI,Completed,350.28
