order_id,customer_id,restaurant_id,order_timestamp,order_amount,number_of_items,weather,traffic_condition,order_status
O00059,C01776,R0047,2025-03-06 11:00:00,1205.88,1,Clear,High,Cancelled
O00060,C00882,R0032,2025-03-12 09:00:00,1929.7,1,Clear,Low,Completed
O00061,C00013,R0099,2025-03-05 11:00:00,1611.57,2,Rainy,High,Completed
O00062,C00342,R0095,2025-02-16 09:00:00,1431.5,5,Cloudy,Low,Completed
O00063,C00035,R0053,2025-03-24 04:00:00,214.49,6,Cloudy,Low,Completed
O00064,C00559,R0032,2025-02-15 15:00:00,304.71,3,Cloudy,Medium,Completed
O00065,C01238,R0062,2025-01-19 00:00:00,1591.19,6,Clear,High,Completed
O00066,C01436,R0037,2025-02-27 03:00:00,476.65,3,Rainy,High,Completed
O00067,C00405,R0096,2025-02-23 14:00:00,154.79,4,Clear,Medium,Completed
O00068,C01518,R0038,2025-02-23 22:00:00,1830.45,3,Clear,Medium,Completed
O00069,C00658,R0030,2025-01-22 04:00:00,1792.53,6,Rainy,Low,Completed
O00070,C00159,R0058,2025-01-22 03:00:00,515.12,5,Rainy,Medium,Completed
O00071,C00956,R0032,2025-01-26 16:00:00,1582.39,3,Clear,Low,Completed
O00072,C01661,R0066,2025-01-18 11:00:00,191.16,3,Cloudy,High,Completed
O00073,C01134,R0051,2025-02-15 15:00:00,641.61,4,Rainy,Medium,Completed
O00074,C00549,R0011,2025-01-04 01:00:00,1284.97,1,Rainy,Medium,Cancelled
O00075,C01813,R0059,2025-03-11 22:00:00,1550.04,1,Rainy,Low,Completed
O00076,C01550,R0020,2025-01-07 01:00:00,119.76,5,Clear,Medium,Completed
O00077,C00985,R0037,2025-03-29 05:00:00,719.8,2,Rainy,High,Completed
O00078,C01371,R0073,2025-03-15 12:00:00,507.26,2,Clear,Low,Completed
O00079,C01768,R0049,2025-02-17 04:00:00,1997.68,4,Clear,Low,Completed
O00080,C01852,R0019,2025-01-06 00:00:00,1374.87,6,Clear,Medium,Completed
O00081,C01660,R0055,2025-02-14 10:00:00,870.78,6,Clear,High,Completed
O00082,C00279,R0040,2025-03-23 19:00:00,243.74,3,Cloudy,High,Completed
O00083,C00479,R0007,2025-01-30 09:00:00,1237.47,4,Clear,Medium,Completed
O00084,C00111,R0005,2025-02-21 13:00:00,1319.23,6,Clear,High,Completed
O00085,C01660,R0042,2025-03-22 14:00:00,1651.17,1,Clear,Medium,Completed
O00086,C01949,R0088,2025-03-20 10:00:00,648.3,5,Rainy,Medium,Completed
O00087,C00431,R0048,2025-02-16 21:00:00,1964.71,2,Clear,Low,Completed
O00088,C00542,R0007,2025-01-09 17:00:00,934.98,3,Clear,Medium,Completed
O00089,C01139,R0011,2025-01-31 18:00:00,662.29,2,Cloudy,Medium,Completed
O00090,C01114,R0073,2025-02-13 13:00:00,762.05,1,Rainy,Low,Completed
O00091,C01236,R0049,2025-01-07 14:00:00,1087.21,3,Cloudy,Medium,Completed
O00092,C01574,R0030,2025-01-31 20:00:00,1879.73,1,Rainy,Medium,Completed
O00093,C01619,R0041,2025-03-23 09:00:00,1496.8,2,Clear,High,Completed
O00094,C01563,R0003,2025-03-01 07:00:00,1196.51,2,Clear,High,Completed
O00095,C01753,R0086,2025-01-30 02:00:00,409.34,1,Rainy,Medium,Completed
O00096,C00360,R0040,2025-03-20 01:00:00,383.77,3,Cloudy,Low,Completed
O00097,C01510,R0051,2025-01-06 20:00:00,1054.17,1,Clear,Medium,Completed
O00098,C00372,R0084,2025-01-10 23:00:00,1484.55,3,Clear,Low,Completed
O00099,C01239,R0032,2025-01-13 03:00:00,1526.92,4,Rainy,Medium,Completed
O00100,C01757,R0048,2025-01-04 09:00:00,529.24,4,Rainy,Medium,Completed
O00101,C01039,R0071,2025-03-16 21:00:00,290.19,3,Clear,Low,Completed
O00102,C00955,R0071,2025-02-10 16:00:00,830.48,1,Clear,Medium,Completed
O00103,C00259,R0020,2025-01-25 03:00:00,1844.53,3,Rainy,Low,Completed
O00104,C00778,R0089,2025-03-16 23:00:00,1136.2,2,Clear,High,Completed
O00105,C01487,R0035,2025-03-02 21:00:00,708.19,1,Clear,High,Completed
O00106,C00120,R0024,2025-01-14 09:00:00,714.91,6,Clear,High,Completed
O00107,C00976,R0040,2025-01-30 17:00:00,350.97,3,Clear,Medium,Completed
O00108,C00913,R0077,2025-03-30 19:00:00,999.13,2,Rainy,Medium,Completed
O00109,C01152,R0052,2025-03-20 18:00:00,1603.59,5,Cloudy,Medium,Completed
O00110,C00723,R0039,2025-02-23 07:00:00,1940.26,2,Clear,Medium,Completed
O00111,C00523,R0068,2025-03-11 22:00:00,1053.03,6,Clear,Low,Completed
O00112,C01712,R0061,2025-02-08 05:00:00,417.71,3,Rainy,High,Cancelled
O00113,C01669,R0076,2025-03-17 06:00:00,1397.61,1,Clear,Medium,Cancelled
O00114,C00325,R0081,2025-03-28 05:00:00,1537.9,1,Cloudy,Low,Completed
O00115,C01344,R0065,2025-01-24 07:00:00,236.23,4,Clear,High,Completed
O00116,C01530,R0062,2025-01-27 04:00:00,1715.26,6,Clear,Medium,Completed
O00117,C01550,R0081,2025-02-26 08:00:00,1675.71,3,Clear,High,Cancelled
O00118,C01074,R0002,2025-03-21 15:00:00,997.83,2,Cloudy,Medium,Completed
O00119,C01946,R0006,2025-03-17 08:00:00,1164.8,2,Rainy,Low,Completed
O00120,C01608,R0075,2025-03-20 23:00:00,1455.48,6,Clear,Medium,Completed
O00121,C00069,R0043,2025-02-11 22:00:00,1385.82,3,Clear,Medium,Completed
O00122,C00391,R0082,2025-01-03 00:00:00,131.42,2,Clear,High,Completed
O00123,C00383,R0040,2025-03-19 02:00:00,332.63,5,Clear,Medium,Completed
O00124,C00016,R0089,2025-03-22 09:00:00,408.92,6,Rainy,Medium,Completed
O00125,C01463,R0039,2025-03-28 13:00:00,1535.78,4,Clear,High,Completed
O00126,C00846,R0028,2025-03-30 20:00:00,936.16,1,Clear,High,Completed
O00127,C00869,R0080,2025-03-05 13:00:00,1136.45,2,Cloudy,Low,Completed
O00128,C00568,R0063,2025-03-07 09:00:00,1568.11,5,Clear,Medium,Completed
O00129,C01641,R0064,2025-01-14 16:00:00,747.87,3,Rainy,Low,Completed
O00130,C00132,R0012,2025-01-19 01:00:00,1522.89,2,Cloudy,Low,Completed
O00131,C01584,R0041,2025-01-25 11:00:00,940.37,6,Clear,High,Completed
O00132,C01272,R0029,2025-03-13 06:00:00,816.64,3,Clear,High,Completed
O00133,C00273,R0023,2025-03-20 04:00:00,732.77,5,Cloudy,Medium,Completed
O00134,C01647,R0085,2025-02-23 00:00:00,1933.4,5,Rainy,High,Completed
O00135,C01956,R0080,2025-03-20 03:00:00,1566.75,1,Rainy,Low,Completed
O00136,C01862,R0051,2025-03-27 05:00:00,138.37,3,Clear,Medium,Completed
O00137,C01872,R0045,2025-03-08 14:00:00,1919.09,4,Clear,Low,Completed
O00138,C01373,R0090,2025-01-22 07:00:00,1573.34,1,Cloudy,High,Completed
O00139,C00484,R0022,2025-02-28 16:00:00,383.43,3,Clear,High,Completed
O00140,C00550,R0010,2025-02-28 19:00:00,245.04,3,Clear,Medium,Completed
O00141,C00357,R0007,2025-03-18 14:00:00,685.57,5,Rainy,High,Completed
O00142,C01776,R0073,2025-02-12 03:00:00,1285.94,6,Cloudy,High,Completed
O00143,C01342,R0089,2025-03-03 08:00:00,1271.44,5,Cloudy,Low,Completed
O00144,C01657,R0015,2025-01-24 11:00:00,624.12,3,Clear,Medium,Completed
O00145,C01072,R0077,2025-01-13 14:00:00,946.78,6,Clear,Low,Completed
O00146,C01034,R0046,2025-02-25 09:00:00,502.59,6,Cloudy,Medium,Completed
O00147,C00233,R0090,2025-03-29 01:00:00,196.1,5,Cloudy,Medium,Completed
O00148,C00036,R0085,2025-03-26 07:00:00,1082.24,3,Rainy,Medium,Completed
O00149,C00413,R0087,2025-03-28 16:00:00,759.28,3,Cloudy,High,Completed
O00150,C01486,R0061,2025-01-18 03:00:00,1131.48,6,Clear,Medium,Completed
O00151,C01028,R0092,2025-03-10 17:00:00,1898.36,1,Cloudy,High,Completed
O00152,C00044,R0061,2025-01-22 03:00:00,372.4,1,Clear,Medium,Completed
O00153,C00568,R0051,2025-01-03 07:00:00,103.73,4,Cloudy,Low,Completed
O00154,C01578,R0038,2025-03-14 19:00:00,246.07,1,Rainy,Medium,Completed
O00155,C01279,R0012,2025-01-09 03:00:00,979.15,2,Cloudy,Medium,Completed
O00156,C00740,R0088,2025-03-16 14:00:00,1443.17,2,Clear,Low,Completed
O00157,C00114,R0077,2025-03-12 00:00:00,1203.45,5,Cloudy,Low,Completed
O00158,C01773,R0066,2025-02-16 02:00:00,1040.3,6,Cloudy,Medium,Completed
O00159,C00397,R0054,2025-01-23 10:00:00,772.53,2,Clear,High,Completed
O00160,C01198,R0039,2025-01-29 16:00:00,688.95,1,Rainy,Medium,Completed
O00161,C01279,R0076,2025-01-30 22:00:00,814.94,6,Clear,Low,Completed
O00162,C00466,R0039,2025-01-13 17:00:00,1262.11,4,Clear,Medium,Completed
O00163,C01953,R0078,2025-02-25 14:00:00,418.73,3,Rainy,High,Cancelled
O00164,C01301,R0030,2025-01-17 03:00:00,1565.59,4,Cloudy,Medium,Completed
O00165,C01488,R0048,2025-01-31 04:00:00,1192.98,1,Rainy,Low,Completed
O00166,C00847,R0083,2025-03-26 23:00:00,611.4,1,Clear,Medium,Completed
O00167,C00502,R0031,2025-03-20 17:00:00,1052.19,1,Clear,High,Completed
O00168,C00441,R0025,2025-02-08 02:00:00,1929.28,5,Clear,Medium,Completed
O00169,C00069,R0068,2025-01-08 10:00:00,138.93,2,Rainy,Medium,Completed
O00170,C01533,R0051,2025-03-21 07:00:00,479.09,1,Rainy,Low,Completed
O00171,C00326,R0013,2025-03-13 00:00:00,951.92,3,Clear,Low,Completed
O00172,C01766,R0100,2025-01-04 07:00:00,1313.04,2,Clear,Low,Completed
O00173,C00067,R0063,2025-01-19 14:00:00,503.23,2,Clear,Low,Completed
O00174,C00304,R0042,2025-02-01 21:00:00,1869.67,5,Cloudy,Low,Cancelled
O00175,C00972,R0054,2025-02-15 08:00:00,1320.89,4,Clear,Medium,Completed
O00176,C00484,R0067,2025-02-28 03:00:00,1767.12,6,Clear,Medium,Completed
O00177,C00929,R0080,2025-01-24 17:00:00,725.7,2,Clear,Medium,Completed
O00178,C01572,R0090,2025-01-04 23:00:00,1675.01,2,Cloudy,Medium,Completed
O00179,C01441,R0056,2025-03-06 20:00:00,818.62,1,Clear,High,Completed
O00180,C01183,R0019,2025-02-23 11:00:00,580.23,3,Cloudy,Low,Completed
O00181,C00149,R0046,2025-01-11 07:00:00,1832.15,1,Clear,Low,Completed
O00182,C01051,R0015,2025-03-29 05:00:00,275.22,3,Clear,Low,Completed
O00183,C00987,R0032,2025-02-10 21:00:00,1891.49,2,Clear,High,Completed
O00184,C00584,R0049,2025-01-12 03:00:00,971.18,3,Clear,Low,Completed
O00185,C00248,R0021,2025-03-11 07:00:00,1985.99,1,Clear,Low,Completed
O00186,C01125,R0065,2025-03-07 05:00:00,1125.23,1,Clear,Low,Completed
O00187,C00702,R0070,2025-01-31 15:00:00,1539.23,4,Clear,Medium,Completed
O00188,C00096,R0027,2025-03-30 06:00:00,113.43,5,Rainy,Medium,Completed
O00189,C01408,R0023,2025-01-19 16:00:00,1043.67,4,Clear,High,Completed
O00190,C00282,R0047,2025-03-22 13:00:00,1501.16,2,Cloudy,High,Completed
O00191,C00322,R0095,2025-03-18 11:00:00,1587.37,3,Clear,Low,Completed
O00192,C01420,R0012,2025-01-26 19:00:00,400.29,1,Rainy,Medium,Completed
O00193,C01302,R0085,2025-01-26 13:00:00,896.04,1,Rainy,Medium,Completed
O00194,C00529,R0066,2025-03-01 17:00:00,896.24,1,Rainy,Low,Completed
O00195,C00263,R0005,2025-03-05 20:00:00,296.92,6,Cloudy,Medium,Completed
O00196,C01643,R0009,2025-02-06 12:00:00,941.79,1,Clear,Medium,Completed
O00197,C00580,R0020,2025-02-17 05:00:00,1633.48,6,Clear,Low,Completed
O00198,C01664,R0082,2025-02-02 06:00:00,670.34,2,Clear,Low,Completed
O00199,C01317,R0063,2025-01-28 23:00:00,921.89,5,Clear,Low,Completed
O00200,C00294,R0086,2025-03-09 22:00:00,1925.82,4,Clear,High,Completed
O00201,C01632,R0072,2025-03-27 07:00:00,160.25,6,Rainy,Medium,Completed
O00202,C00395,R0098,2025-01-16 00:00:00,1223.89,4,Clear,Medium,Completed
O00203,C00513,R0073,2025-02-03 05:00:00,1512.53,6,Clear,Low,Completed
O00204,C00921,R0071,2025-03-16 07:00:00,1545.68,1,Cloudy,Low,Completed
O00205,C00810,R0030,2025-01-03 18:00:00,1460.28,1,Clear,Low,Completed
O00206,C01204,R0082,2025-03-07 21:00:00,1480.26,3,Clear,Low,Completed
O00207,C00920,R0091,2025-03-29 02:00:00,212.12,1,Clear,High,Completed
O00208,C00693,R0016,2025-03-24 06:00:00,1114.86,4,Rainy,High,Completed
O00209,C00235,R0085,2025-03-18 12:00:00,1587.64,3,Rainy,Medium,Completed
O00210,C00952,R0005,2025-01-10 17:00:00,278.72,3,Clear,High,Completed
O00211,C01855,R0029,2025-02-20 22:00:00,122.89,1,Rainy,Medium,Completed
O00212,C01361,R0047,2025-02-13 23:00:00,1647.67,3,Rainy,Medium,Completed
O00213,C01032,R0022,2025-02-10 12:00:00,1453.36,5,Clear,Medium,Completed
O00214,C01467,R0078,2025-03-19 05:00:00,883.19,1,Clear,High,Completed
O00215,C01965,R0057,2025-01-20 02:00:00,1886.75,5,Rainy,High,Completed
O00216,C00539,R0083,2025-02-18 17:00:00,1556.54,1,Clear,Medium,Completed
O00217,C00820,R0035,2025-02-27 12:00:00,1938.94,6,Cloudy,High,Completed
O00218,C01682,R0088,2025-01-01 05:00:00,1865.7,5,Cloudy,Medium,Completed
O00219,C01115,R0060,2025-01-21 13:00:00,1014.46,1,Clear,High,Completed
O00220,C01878,R0070,2025-03-30 06:00:00,1533.95,4,Cloudy,Medium,Completed
O00221,C00272,R0060,2025-02-09 02:00:00,1371.46,6,Cloudy,High,Completed
O00222,C01858,R0058,2025-02-26 19:00:00,1641.75,6,Clear,Medium,Completed
O00223,C01029,R0003,2025-02-14 00:00:00,1596.61,6,Cloudy,Medium,Completed
O00224,C01618,R0034,2025-01-06 22:00:00,391.14,1,Clear,Low,Cancelled
O00225,C01923,R0045,2025-01-31 15:00:00,544.1,4,Rainy,Low,Completed
O00226,C01243,R0050,2025-03-12 23:00:00,604.89,2,Clear,Medium,Completed
O00227,C01142,R0002,2025-03-20 12:00:00,1655.15,6,Cloudy,Medium,Cancelled
O00228,C00593,R0015,2025-03-22 04:00:00,1640.41,2,Cloudy,High,Completed
O00229,C00976,R0037,2025-03-20 18:00:00,1041.14,1,Clear,Low,Completed
O00230,C01606,R0015,2025-02-09 05:00:00,1203.58,6,Clear,High,Completed
O00231,C00115,R0060,2025-03-09 07:00:00,1671.15,4,Clear,Medium,Completed
O00232,C00263,R0096,2025-03-21 19:00:00,693.93,4,Cloudy,Low,Completed
O00233,C01330,R0085,2025-03-24 00:00:00,195.34,6,Clear,Medium,Completed
O00234,C01678,R0064,2025-01-03 06:00:00,1016.93,3,Cloudy,Medium,Completed
O00235,C01446,R0081,2025-03-03 07:00:00,1836.06,3,Clear,Low,Completed
O00236,C00207,R0098,2025-02-14 02:00:00,1601.89,6,Clear,High,Completed
O00237,C01647,R0096,2025-02-11 22:00:00,796.57,5,Clear,High,Completed
O00238,C00303,R0052,2025-02-20 20:00:00,223.07,3,Clear,Low,Completed
O00239,C00112,R0023,2025-01-24 13:00:00,1310.15,1,Cloudy,Low,Completed
O00240,C01441,R0099,2025-02-02 02:00:00,1685.53,3,Clear,Medium,Completed
O00241,C01579,R0037,2025-03-16 21:00:00,1363.4,3,Cloudy,High,Completed
O00242,C01883,R0041,2025-03-20 06:00:00,907.64,1,Cloudy,Medium,Completed
O00243,C01309,R0057,2025-02-06 13:00:00,334.37,1,Clear,Medium,Completed
O00244,C01664,R0097,2025-01-22 09:00:00,1830.47,5,Clear,High,Completed
O00245,C00185,R0025,2025-03-09 09:00:00,624.32,4,Clear,High,Completed
O00246,C01765,R0037,2025-01-18 13:00:00,526.15,3,Cloudy,Medium,Completed
O00247,C00901,R0040,2025-03-24 07:00:00,1650.36,6,Rainy,Medium,Completed
O00248,C00221,R0085,2025-01-22 12:00:00,1964.32,6,Clear,Low,Cancelled
O00249,C01888,R0046,2025-03-26 16:00:00,1354.3,2,Clear,High,Completed
O00250,C01468,R0060,2025-01-30 08:00:00,1287.14,4,Cloudy,Medium,Completed
O00251,C01141,R0098,2025-03-11 17:00:00,706.92,1,Clear,Medium,Completed
O00252,C01094,R0019,2025-03-29 03:00:00,138.79,6,Clear,Medium,Completed
O00253,C00898,R0091,2025-02-05 17:00:00,464.42,3,Cloudy,Low,Completed
O00254,C01094,R0009,2025-01-10 02:00:00,1210.42,5,Clear,Low,Completed
O00255,C00622,R0069,2025-01-24 15:00:00,387.5,2,Cloudy,Medium,Completed
O00256,C00427,R0005,2025-03-16 01:00:00,1779.29,4,Cloudy,High,Completed
O00257,C00644,R0089,2025-01-11 17:00:00,457.47,3,Clear,High,Completed
O00258,C00568,R0026,2025-03-06 00:00:00,1092.0,1,Clear,Medium,Completed
O00259,C00443,R0019,2025-02-10 00:00:00,1072.83,4,Cloudy,Low,Cancelled
O00260,C00601,R0030,2025-02-28 08:00:00,1247.5,2,Clear,High,Completed
O00261,C01161,R0100,2025-02-07 04:00:00,722.12,1,Clear,Medium,Completed
O00262,C00504,R0048,2025-02-10 11:00:00,1759.71,2,Cloudy,Low,Completed
O00263,C00131,R0016,2025-01-05 06:00:00,944.17,3,Cloudy,Low,Completed
O00264,C00218,R0071,2025-02-16 03:00:00,1430.29,4,Clear,High,Completed
O00265,C00688,R0018,2025-03-23 11:00:00,1308.23,5,Clear,High,Completed
O00266,C00171,R0056,2025-02-13 17:00:00,322.6,3,Clear,Low,Completed
O00267,C01499,R0021,2025-03-15 06:00:00,1283.01,6,Clear,Low,Completed
O00268,C00612,R0031,2025-03-02 05:00:00,1146.34,3,Rainy,High,Completed
O00269,C00992,R0001,2025-03-11 21:00:00,1807.35,5,Cloudy,Low,Completed
O00270,C01153,R0003,2025-02-25 01:00:00,1773.67,5,Clear,Medium,Completed
O00271,C00057,R0095,2025-02-14 22:00:00,386.81,6,Clear,Medium,Completed
O00272,C01205,R0025,2025-01-03 07:00:00,255.2,6,Rainy,Low,Completed
O00273,C00246,R0008,2025-02-12 06:00:00,659.73,1,Clear,Medium,Completed
O00274,C00144,R0065,2025-02-04 14:00:00,1974.56,2,Cloudy,High,Completed
O00275,C01075,R0062,2025-02-08 07:00:00,140.99,3,Clear,Medium,Completed
O00276,C00368,R0007,2025-01-20 00:00:00,1378.5,1,Clear,Medium,Completed
O00277,C01483,R0007,2025-01-06 11:00:00,1256.18,6,Clear,High,Completed
O00278,C00218,R0008,2025-01-21 12:00:00,1328.5,1,Clear,High,Completed
O00279,C00616,R0019,2025-03-07 17:00:00,514.74,3,Clear,Low,Completed
O00280,C01919,R0017,2025-03-20 15:00:00,530.76,2,Rainy,Medium,Completed
O00281,C01591,R0011,2025-01-25 05:00:00,918.22,5,Clear,Medium,Completed
O00282,C01281,R0049,2025-02-03 03:00:00,282.13,3,Clear,Medium,Completed
O00283,C01882,R0011,2025-03-20 11:00:00,241.77,2,Clear,Medium,Completed
O00284,C01180,R0041,2025-02-20 02:00:00,267.88,5,Clear,Medium,Completed
O00285,C01589,R0062,2025-03-23 04:00:00,1188.66,4,Clear,Medium,Cancelled
O00286,C00442,R0052,2025-02-03 17:00:00,855.71,3,Rainy,Low,Completed
O00287,C00841,R0066,2025-02-02 04:00:00,657.87,6,Cloudy,Low,Completed
O00288,C00956,R0068,2025-02-16 20:00:00,700.06,3,Cloudy,Medium,Completed
O00289,C00699,R0092,2025-01-24 20:00:00,493.84,6,Clear,High,Completed
O00290,C00876,R0097,2025-02-20 06:00:00,881.86,2,Clear,Medium,Completed
O00291,C01686,R0075,2025-02-03 16:00:00,485.81,1,Clear,Low,Completed
O00292,C00776,R0067,2025-02-06 14:00:00,1426.29,1,Rainy,Medium,Completed
O00293,C00762,R0040,2025-03-14 13:00:00,335.47,2,Clear,Medium,Completed
O00294,C00945,R0005,2025-02-04 13:00:00,1901.66,3,Rainy,High,Completed
O00295,C01834,R0085,2025-03-13 11:00:00,270.66,3,Clear,High,Completed
O00296,C00923,R0022,2025-02-17 21:00:00,1892.58,6,Rainy,Medium,Completed
O00297,C00935,R0037,2025-03-07 09:00:00,1683.26,3,Clear,Low,Completed
O00298,C01747,R0011,2025-01-29 04:00:00,1393.35,4,Clear,High,Completed
O00299,C00025,R0044,2025-02-09 08:00:00,1833.37,6,Clear,High,Completed
O00300,C00806,R0086,2025-03-18 09:00:00,364.52,1,Clear,High,Completed
O00301,C01877,R0053,2025-02-03 08:00:00,435.0,4,Clear,Low,Completed
O00302,C01688,R0077,2025-02-17 13:00:00,579.09,3,Clear,Medium,Completed
O00303,C01560,R0061,2025-02-16 11:00:00,565.14,1,Clear,Low,Completed
O00304,C00764,R0067,2025-03-10 03:00:00,690.61,6,Clear,Low,Completed
O00305,C01084,R0013,2025-03-26 15:00:00,1193.7,3,Clear,Low,Completed
O00306,C01491,R0092,2025-03-04 20:00:00,153.53,6,Rainy,High,Completed
O00307,C00434,R0011,2025-02-16 06:00:00,826.32,3,Clear,Low,Completed
O00308,C00879,R0011,2025-01-10 17:00:00,568.13,2,Rainy,Medium,Cancelled
O00309,C01090,R0085,2025-02-08 00:00:00,1252.6,1,Rainy,High,Completed
O00310,C00910,R0085,2025-02-17 19:00:00,1971.82,3,Cloudy,Low,Completed
O00311,C00565,R0007,2025-02-21 02:00:00,1083.54,5,Clear,High,Completed
O00312,C01952,R0017,2025-02-13 23:00:00,908.8,5,Clear,Medium,Cancelled
O00313,C00106,R0048,2025-03-07 14:00:00,799.66,6,Cloudy,Medium,Completed
O00314,C00096,R0014,2025-01-04 21:00:00,1591.4,3,Clear,Medium,Completed
O00315,C01712,R0063,2025-03-06 09:00:00,236.76,2,Cloudy,Low,Completed
O00316,C01575,R0064,2025-03-14 22:00:00,1923.56,6,Rainy,Low,Completed
O00317,C00168,R0097,2025-01-03 09:00:00,894.04,3,Rainy,Medium,Completed
O00318,C00042,R0075,2025-02-13 10:00:00,696.03,5,Clear,Medium,Completed
O00319,C01903,R0077,2025-01-15 20:00:00,1950.73,1,Rainy,Low,Completed
