order_id,customer_id,restaurant_id,order_timestamp,order_amount,number_of_items,order_status,delivery_id,driver_id,delivery_distance_km,preparation_time_minutes,delivery_time_minutes,tip_amount,order_hour,day_of_week,is_weekend,traffic_condition_Low,traffic_condition_Medium,weather_Cloudy,weather_Rainy
O00019,C01726,R0078,2025-01-23 14:00:00,655.07,6,Completed,DL00019,D0230,14.11,17,112.2,82.41,14,3,0,0,0,0,1
O00020,C00490,R0020,2025-01-23 22:00:00,515.66,3,Completed,DL00020,D0214,8.47,15,72.5,76.35,22,3,0,0,0,0,0
O00021,C00355,R0055,2025-02-25 09:00:00,1665.25,1,Completed,DL00021,D0102,10.2,35,96.5,99.52,9,1,0,0,0,0,0
O00022,C00196,R0048,2025-03-19 21:00:00,497.49,3,Completed,DL00022,D0498,11.5,43,104.9,58.19,21,2,0,0,0,0,0
O00023,C00545,R0083,2025-01-27 13:00:00,1855.77,1,Completed,DL00023,D0460,8.61,36,91.1,78.74,13,0,0,0,1,0,0
O00024,C00717,R0056,2025-01-07 20:00:00,1367.97,4,Completed,DL00024,D0040,12.67,24,84.7,133.35,20,1,0,0,1,0,0
O00025,C00824,R0097,2025-01-26 20:00:00,1804.54,1,Completed,DL00025,D0206,14.79,27,89.3,133.04,20,6,1,1,0,1,0
O00026,C00932,R0100,2025-02-20 23:00:00,1152.62,4,Completed,DL00026,D0199,6.49,11,58.5,72.02,23,3,0,0,1,0,0
O00027,C01718,R0088,2025-01-03 02:00:00,1412.29,1,Completed,DL00027,D0322,10.01,34,87.0,45.61,2,4,0,0,1,1,0
O00028,C01003,R0010,2025-01-21 08:00:00,1276.97,2,Completed,DL00028,D0360,5.44,18,43.6,52.69,8,1,0,1,0,0,0
O00029,C00659,R0052,2025-02-13 14:00:00,1679.27,4,Completed,DL00029,D0395,1.97,25,80.8,239.57,14,3,0,0,0,0,1
O00030,C00939,R0050,2025-01-28 16:00:00,1688.14,3,Completed,DL00030,D0497,1.38,14,50.6,169.54,16,1,0,0,1,0,1
O00031,C00780,R0034,2025-02-21 22:00:00,1220.61,3,Completed,DL00031,D0458,4.26,34,75.4,48.68,22,4,0,0,0,1,0
O00032,C00011,R0036,2025-03-23 21:00:00,1301.76,3,Completed,DL00032,D0487,3.27,32,80.0,107.13,21,6,1,0,1,0,1
O00033,C01606,R0061,2025-02-21 20:00:00,1851.56,3,Completed,DL00033,D0390,11.11,13,94.1,213.87,20,4,0,0,0,0,1
O00034,C01280,R0100,2025-01-12 01:00:00,1866.75,2,Completed,DL00034,D0137,7.49,40,74.4,232.58,1,6,1,1,0,1,0
O00035,C00396,R0016,2025-01-04 00:00:00,1362.07,2,Completed,DL00035,D0403,8.56,28,64.3,157.3,0,5,1,1,0,0,0
O00036,C00731,R0079,2025-03-30 12:00:00,114.73,5,Completed,DL00036,D0153,2.15,17,34.0,4.67,12,6,1,1,0,0,0
O00037,C01833,R0018,2025-02-06 16:00:00,298.38,5,Completed,DL00037,D0133,1.27,26,63.2,41.85,16,3,0,0,1,0,1
O00038,C00409,R0071,2025-01-19 02:00:00,1730.09,5,Completed,DL00038,D0005,7.09,14,66.2,146.39,2,6,1,0,0,0,0
O00039,C00362,R0047,2025-03-26 12:00:00,260.96,6,Completed,DL00039,D0310,4.58,28,79.8,28.81,12,2,0,0,0,0,0
O00040,C01283,R0086,2025-02-15 08:00:00,505.69,5,Completed,DL00040,D0451,9.71,25,74.1,28.68,8,5,1,0,1,0,0
O00041,C01027,R0032,2025-03-24 16:00:00,538.04,1,Completed,DL00041,D0452,8.16,20,85.7,55.25,16,0,0,0,0,0,0
O00042,C00084,R0043,2025-01-15 20:00:00,1240.45,6,Completed,DL00042,D0268,12.6,11,84.1,109.85,20,2,0,0,0,1,0
O00043,C00156,R0083,2025-02-08 23:00:00,1195.6,4,Completed,DL00043,D0218,12.74,14,73.9,54.84,23,5,1,0,1,1,0
O00044,C01687,R0040,2025-01-01 17:00:00,649.89,3,Completed,DL00044,D0390,8.52,44,99.9,88.91,17,2,0,0,1,0,0
O00045,C01200,R0065,2025-03-08 05:00:00,494.46,1,Completed,DL00045,D0245,13.7,26,82.8,50.84,5,5,1,0,1,0,0
O00046,C00707,R0035,2025-03-16 16:00:00,1552.61,6,Completed,DL00046,D0202,14.06,24,76.4,98.51,16,6,1,0,1,0,0
O00047,C01962,R0069,2025-02-11 11:00:00,1877.37,2,Completed,DL00047,D0347,4.42,32,79.5,185.93,11,1,0,0,0,0,0
O00048,C00472,R0050,2025-02-13 00:00:00,200.33,3,Completed,DL00048,D0360,14.68,27,98.6,26.62,0,3,0,1,0,1,0
O00049,C00619,R0012,2025-03-04 05:00:00,353.04,4,Completed,DL00049,D0087,14.8,12,84.3,32.52,5,1,0,0,0,0,0
O00050,C01448,R0076,2025-03-09 17:00:00,1320.11,4,Completed,DL00050,D0113,1.91,43,69.4,98.23,17,6,1,0,1,0,0
O00051,C00134,R0085,2025-03-18 23:00:00,1628.44,2,Completed,DL00051,D0294,1.03,33,77.3,169.49,23,1,0,0,0,0,1
O00052,C00788,R0058,2025-03-06 02:00:00,1603.26,3,Completed,DL00052,D0414,1.82,11,51.1,102.94,2,3,0,0,1,0,1
O00053,C00907,R0083,2025-02-18 01:00:00,1467.4,5,Completed,DL00053,D0165,5.9,29,62.6,134.48,1,1,0,0,1,0,0
O00054,C00864,R0063,2025-02-24 20:00:00,1786.11,3,Completed,DL00054,D0234,12.31,17,93.4,135.01,20,0,0,0,0,1,0
O00055,C01404,R0073,2025-03-13 15:00:00,512.96,3,Completed,DL00055,D0153,8.06,37,87.6,25.25,15,3,0,0,1,0,0
O00056,C00667,R0049,2025-03-23 06:00:00,303.85,4,Completed,DL00056,D0428,5.15,18,47.0,12.95,6,6,1,0,1,0,0
O00057,C00277,R0036,2025-01-10 07:00:00,1269.19,2,Completed,DL00057,D0060,1.77,39,75.7,105.43,7,4,0,1,0,0,1
O00058,C01260,R0054,2025-03-26 10:00:00,1662.32,3,Completed,DL00058,D0398,6.54,20,55.3,81.2,10,2,0,0,1,0,0
O00059,C01776,R0047,2025-03-06 11:00:00,1205.88,1,Cancelled,DL00059,D0067,1.51,30,66.3,118.7,11,3,0,0,0,0,0
O00060,C00882,R0032,2025-03-12 09:00:00,1929.7,1,Completed,DL00060,D0116,3.42,24,49.0,267.8,9,2,0,1,0,0,0
O00061,C00013,R0099,2025-03-05 11:00:00,1611.57,2,Completed,DL00061,D0068,13.3,36,120.0,128.03,11,2,0,0,0,0,1
O00062,C00342,R0095,2025-02-16 09:00:00,1431.5,5,Completed,DL00062,D0164,11.66,35,79.0,191.52,9,6,1,1,0,1,0
O00063,C00035,R0053,2025-03-24 04:00:00,214.49,6,Completed,DL00063,D0281,14.94,31,86.2,30.35,4,0,0,1,0,1,0
O00064,C00559,R0032,2025-02-15 15:00:00,304.71,3,Completed,DL00064,D0008,13.52,16,86.2,29.82,15,5,1,0,1,1,0
O00065,C01238,R0062,2025-01-19 00:00:00,1591.19,6,Completed,DL00065,D0281,12.98,13,87.5,152.68,0,6,1,0,0,0,0
O00066,C01436,R0037,2025-02-27 03:00:00,476.65,3,Completed,DL00066,D0420,3.45,12,59.5,53.09,3,3,0,0,0,0,1
O00067,C00405,R0096,2025-02-23 14:00:00,154.79,4,Completed,DL00067,D0030,10.08,34,91.7,5.91,14,6,1,0,1,0,0
O00068,C01518,R0038,2025-02-23 22:00:00,1830.45,3,Completed,DL00068,D0115,9.41,30,74.6,181.7,22,6,1,0,1,0,0
O00069,C00658,R0030,2025-01-22 04:00:00,1792.53,6,Completed,DL00069,D0335,13.85,33,97.0,166.03,4,2,0,1,0,0,1
O00070,C00159,R0058,2025-01-22 03:00:00,515.12,5,Completed,DL00070,D0188,11.93,10,83.1,25.52,3,2,0,0,1,0,1
O00071,C00956,R0032,2025-01-26 16:00:00,1582.39,3,Completed,DL00071,D0301,11.85,16,50.8,176.53,16,6,1,1,0,0,0
O00072,C01661,R0066,2025-01-18 11:00:00,191.16,3,Completed,DL00072,D0229,5.55,34,87.1,23.75,11,5,1,0,0,1,0
O00073,C01134,R0051,2025-02-15 15:00:00,641.61,4,Completed,DL00073,D0047,2.74,14,56.7,31.64,15,5,1,0,1,0,1
O00074,C00549,R0011,2025-01-04 01:00:00,1284.97,1,Cancelled,DL00074,D0178,6.17,21,77.6,30.67,1,5,1,0,1,0,1
O00075,C01813,R0059,2025-03-11 22:00:00,1550.04,1,Completed,DL00075,D0453,3.92,29,65.3,136.05,22,1,0,1,0,0,1
O00076,C01550,R0020,2025-01-07 01:00:00,119.76,5,Completed,DL00076,D0338,11.19,21,79.9,5.1,1,1,0,0,1,0,0
O00077,C00985,R0037,2025-03-29 05:00:00,719.8,2,Completed,DL00077,D0480,7.43,37,100.2,17.31,5,5,1,0,0,0,1
O00078,C01371,R0073,2025-03-15 12:00:00,507.26,2,Completed,DL00078,D0042,4.25,28,53.9,37.68,12,5,1,1,0,0,0
O00079,C01768,R0049,2025-02-17 04:00:00,1997.68,4,Completed,DL00079,D0178,10.21,16,55.3,185.41,4,0,0,1,0,0,0
O00080,C01852,R0019,2025-01-06 00:00:00,1374.87,6,Completed,DL00080,D0263,1.97,13,30.4,162.0,0,0,0,0,1,0,0
O00081,C01660,R0055,2025-02-14 10:00:00,870.78,6,Completed,DL00081,D0490,13.85,32,100.3,58.68,10,4,0,0,0,0,0
O00082,C00279,R0040,2025-03-23 19:00:00,243.74,3,Completed,DL00082,D0004,9.1,38,100.9,11.63,19,6,1,0,0,1,0
O00083,C00479,R0007,2025-01-30 09:00:00,1237.47,4,Completed,DL00083,D0310,7.45,44,86.1,77.51,9,3,0,0,1,0,0
O00084,C00111,R0005,2025-02-21 13:00:00,1319.23,6,Completed,DL00084,D0105,4.49,25,65.5,112.26,13,4,0,0,0,0,0
O00085,C01660,R0042,2025-03-22 14:00:00,1651.17,1,Completed,DL00085,D0173,8.67,27,68.9,177.14,14,5,1,0,1,0,0
O00086,C01949,R0088,2025-03-20 10:00:00,648.3,5,Completed,DL00086,D0287,5.02,40,90.3,66.58,10,3,0,0,1,0,1
O00087,C00431,R0048,2025-02-16 21:00:00,1964.71,2,Completed,DL00087,D0080,6.52,20,57.1,174.4,21,6,1,1,0,0,0
O00088,C00542,R0007,2025-01-09 17:00:00,934.98,3,Completed,DL00088,D0061,13.44,32,91.7,49.75,17,3,0,0,1,0,0
O00089,C01139,R0011,2025-01-31 18:00:00,662.29,2,Completed,DL00089,D0173,3.72,32,62.0,61.65,18,4,0,0,1,1,0
O00090,C01114,R0073,2025-02-13 13:00:00,762.05,1,Completed,DL00090,D0378,5.87,21,77.2,83.47,13,3,0,1,0,0,1
O00091,C01236,R0049,2025-01-07 14:00:00,1087.21,3,Completed,DL00091,D0387,10.18,12,56.5,148.17,14,1,0,0,1,1,0
O00092,C01574,R0030,2025-01-31 20:00:00,1879.73,1,Completed,DL00092,D0431,11.15,29,106.5,38.28,20,4,0,0,1,0,1
O00093,C01619,R0041,2025-03-23 09:00:00,1496.8,2,Completed,DL00093,D0433,2.61,32,70.6,143.47,9,6,1,0,0,0,0
O00094,C01563,R0003,2025-03-01 07:00:00,1196.51,2,Completed,DL00094,D0003,14.11,44,114.9,120.63,7,5,1,0,0,0,0
O00095,C01753,R0086,2025-01-30 02:00:00,409.34,1,Completed,DL00095,D0003,1.38,42,79.2,19.52,2,3,0,0,1,0,1
O00096,C00360,R0040,2025-03-20 01:00:00,383.77,3,Completed,DL00096,D0477,1.94,11,30.8,35.59,1,3,0,1,0,1,0
O00097,C01510,R0051,2025-01-06 20:00:00,1054.17,1,Completed,DL00097,D0083,11.67,33,87.2,122.99,20,0,0,0,1,0,0
O00098,C00372,R0084,2025-01-10 23:00:00,1484.55,3,Completed,DL00098,D0260,11.8,28,82.4,190.2,23,4,0,1,0,0,0
O00099,C01239,R0032,2025-01-13 03:00:00,1526.92,4,Completed,DL00099,D0059,10.33,34,94.3,161.28,3,0,0,0,1,0,1
O00100,C01757,R0048,2025-01-04 09:00:00,529.24,4,Completed,DL00100,D0035,8.3,14,73.1,77.68,9,5,1,0,1,0,1
O00101,C01039,R0071,2025-03-16 21:00:00,290.19,3,Completed,DL00101,D0309,5.04,19,43.5,37.24,21,6,1,1,0,0,0
O00102,C00955,R0071,2025-02-10 16:00:00,830.48,1,Completed,DL00102,D0400,12.76,38,96.1,59.2,16,0,0,0,1,0,0
O00103,C00259,R0020,2025-01-25 03:00:00,1844.53,3,Completed,DL00103,D0376,10.78,17,83.4,245.62,3,5,1,1,0,0,1
O00104,C00778,R0089,2025-03-16 23:00:00,1136.2,2,Completed,DL00104,D0179,14.55,27,99.7,54.08,23,6,1,0,0,0,0
O00105,C01487,R0035,2025-03-02 21:00:00,708.19,1,Completed,DL00105,D0154,7.36,38,85.7,79.1,21,6,1,0,0,0,0
O00106,C00120,R0024,2025-01-14 09:00:00,714.91,6,Completed,DL00106,D0166,7.59,22,84.9,29.88,9,1,0,0,0,0,0
O00107,C00976,R0040,2025-01-30 17:00:00,350.97,3,Completed,DL00107,D0369,12.08,42,95.3,51.36,17,3,0,0,1,0,0
O00108,C00913,R0077,2025-03-30 19:00:00,999.13,2,Completed,DL00108,D0068,14.9,10,90.0,103.22,19,6,1,0,1,0,1
O00109,C01152,R0052,2025-03-20 18:00:00,1603.59,5,Completed,DL00109,D0369,13.55,27,89.1,187.4,18,3,0,0,1,1,0
O00110,C00723,R0039,2025-02-23 07:00:00,1940.26,2,Completed,DL00110,D0418,5.16,25,58.9,194.48,7,6,1,0,1,0,0
O00111,C00523,R0068,2025-03-11 22:00:00,1053.03,6,Completed,DL00111,D0243,14.35,33,89.6,81.08,22,1,0,1,0,0,0
O00112,C01712,R0061,2025-02-08 05:00:00,417.71,3,Cancelled,DL00112,D0277,3.77,39,96.4,27.3,5,5,1,0,0,0,1
O00113,C01669,R0076,2025-03-17 06:00:00,1397.61,1,Cancelled,DL00113,D0169,6.9,15,53.4,78.92,6,0,0,0,1,0,0
O00114,C00325,R0081,2025-03-28 05:00:00,1537.9,1,Completed,DL00114,D0443,13.42,44,100.2,188.85,5,4,0,1,0,1,0
O00115,C01344,R0065,2025-01-24 07:00:00,236.23,4,Completed,DL00115,D0089,5.39,34,87.5,11.82,7,4,0,0,0,0,0
O00116,C01530,R0062,2025-01-27 04:00:00,1715.26,6,Completed,DL00116,D0259,5.93,27,60.8,225.0,4,0,0,0,1,0,0
O00117,C01550,R0081,2025-02-26 08:00:00,1675.71,3,Cancelled,DL00117,D0237,14.93,14,92.3,198.24,8,2,0,0,0,0,0
O00118,C01074,R0002,2025-03-21 15:00:00,997.83,2,Completed,DL00118,D0312,7.31,20,60.6,72.85,15,4,0,0,1,1,0
O00119,C01946,R0006,2025-03-17 08:00:00,1164.8,2,Completed,DL00119,D0190,14.26,44,107.5,120.46,8,0,0,1,0,0,1
O00120,C01608,R0075,2025-03-20 23:00:00,1455.48,6,Completed,DL00120,D0402,4.84,19,54.4,182.22,23,3,0,0,1,0,0
O00121,C00069,R0043,2025-02-11 22:00:00,1385.82,3,Completed,DL00121,D0217,8.01,27,68.9,30.73,22,1,0,0,1,0,0
O00122,C00391,R0082,2025-01-03 00:00:00,131.42,2,Completed,DL00122,D0224,6.36,32,89.2,7.26,0,4,0,0,0,0,0
O00123,C00383,R0040,2025-03-19 02:00:00,332.63,5,Completed,DL00123,D0084,8.9,33,84.0,48.62,2,2,0,0,1,0,0
O00124,C00016,R0089,2025-03-22 09:00:00,408.92,6,Completed,DL00124,D0015,13.58,41,121.5,29.77,9,5,1,0,1,0,1
O00125,C01463,R0039,2025-03-28 13:00:00,1535.78,4,Completed,DL00125,D0194,14.87,42,126.8,169.84,13,4,0,0,0,0,0
O00126,C00846,R0028,2025-03-30 20:00:00,936.16,1,Completed,DL00126,D0254,8.01,17,67.3,40.92,20,6,1,0,0,0,0
O00127,C00869,R0080,2025-03-05 13:00:00,1136.45,2,Completed,DL00127,D0245,3.45,24,44.7,77.37,13,2,0,1,0,1,0
O00128,C00568,R0063,2025-03-07 09:00:00,1568.11,5,Completed,DL00128,D0030,1.71,41,67.9,195.06,9,4,0,0,1,0,0
O00129,C01641,R0064,2025-01-14 16:00:00,747.87,3,Completed,DL00129,D0460,3.23,40,75.3,60.4,16,1,0,1,0,0,1
O00130,C00132,R0012,2025-01-19 01:00:00,1522.89,2,Completed,DL00130,D0167,11.45,13,63.1,208.47,1,6,1,1,0,1,0
O00131,C01584,R0041,2025-01-25 11:00:00,940.37,6,Completed,DL00131,D0320,9.32,23,78.9,20.88,11,5,1,0,0,0,0
O00132,C01272,R0029,2025-03-13 06:00:00,816.64,3,Completed,DL00132,D0235,11.48,23,83.3,74.51,6,3,0,0,0,0,0
O00133,C00273,R0023,2025-03-20 04:00:00,732.77,5,Completed,DL00133,D0246,14.36,22,89.1,91.26,4,3,0,0,1,1,0
O00134,C01647,R0085,2025-02-23 00:00:00,1933.4,5,Completed,DL00134,D0185,10.9,40,114.9,140.87,0,6,1,0,0,0,1
O00135,C01956,R0080,2025-03-20 03:00:00,1566.75,1,Completed,DL00135,D0495,11.89,27,93.2,87.34,3,3,0,1,0,0,1
O00136,C01862,R0051,2025-03-27 05:00:00,138.37,3,Completed,DL00136,D0319,6.98,29,70.0,7.26,5,3,0,0,1,0,0
O00137,C01872,R0045,2025-03-08 14:00:00,1919.09,4,Completed,DL00137,D0007,8.16,33,73.1,130.29,14,5,1,1,0,0,0
O00138,C01373,R0090,2025-01-22 07:00:00,1573.34,1,Completed,DL00138,D0086,12.53,25,92.9,183.15,7,2,0,0,0,1,0
O00139,C00484,R0022,2025-02-28 16:00:00,383.43,3,Completed,DL00139,D0328,9.95,20,80.3,16.56,16,4,0,0,0,0,0
O00140,C00550,R0010,2025-02-28 19:00:00,245.04,3,Completed,DL00140,D0215,8.5,31,73.2,23.62,19,4,0,0,1,0,0
O00141,C00357,R0007,2025-03-18 14:00:00,685.57,5,Completed,DL00141,D0023,4.1,25,81.1,15.68,14,1,0,0,0,0,1
O00142,C01776,R0073,2025-02-12 03:00:00,1285.94,6,Completed,DL00142,D0332,9.44,12,80.2,42.54,3,2,0,0,0,1,0
O00143,C01342,R0089,2025-03-03 08:00:00,1271.44,5,Completed,DL00143,D0262,5.08,23,60.7,60.62,8,0,0,1,0,1,0
O00144,C01657,R0015,2025-01-24 11:00:00,624.12,3,Completed,DL00144,D0186,9.26,44,98.6,56.0,11,4,0,0,1,0,0
O00145,C01072,R0077,2025-01-13 14:00:00,946.78,6,Completed,DL00145,D0014,7.49,28,56.1,113.47,14,0,0,1,0,0,0
O00146,C01034,R0046,2025-02-25 09:00:00,502.59,6,Completed,DL00146,D0284,2.42,20,56.0,18.72,9,1,0,0,1,1,0
O00147,C00233,R0090,2025-03-29 01:00:00,196.1,5,Completed,DL00147,D0261,13.0,43,102.9,18.65,1,5,1,0,1,1,0
O00148,C00036,R0085,2025-03-26 07:00:00,1082.24,3,Completed,DL00148,D0452,9.14,23,89.3,122.84,7,2,0,0,1,0,1
O00149,C00413,R0087,2025-03-28 16:00:00,759.28,3,Completed,DL00149,D0056,13.64,11,81.3,98.84,16,4,0,0,0,1,0
O00150,C01486,R0061,2025-01-18 03:00:00,1131.48,6,Completed,DL00150,D0121,13.98,23,86.6,57.93,3,5,1,0,1,0,0
O00151,C01028,R0092,2025-03-10 17:00:00,1898.36,1,Completed,DL00151,D0153,8.25,35,90.2,72.01,17,0,0,0,0,1,0
O00152,C00044,R0061,2025-01-22 03:00:00,372.4,1,Completed,DL00152,D0411,10.49,22,78.5,37.34,3,2,0,0,1,0,0
O00153,C00568,R0051,2025-01-03 07:00:00,103.73,4,Completed,DL00153,D0444,13.54,28,78.7,7.02,7,4,0,1,0,1,0
O00154,C01578,R0038,2025-03-14 19:00:00,246.07,1,Completed,DL00154,D0132,10.52,23,91.7,24.8,19,4,0,0,1,0,1
O00155,C01279,R0012,2025-01-09 03:00:00,979.15,2,Completed,DL00155,D0029,4.42,34,75.5,50.88,3,3,0,0,1,1,0
O00156,C00740,R0088,2025-03-16 14:00:00,1443.17,2,Completed,DL00156,D0233,4.62,20,41.1,72.74,14,6,1,1,0,0,0
O00157,C00114,R0077,2025-03-12 00:00:00,1203.45,5,Completed,DL00157,D0111,6.86,44,77.4,143.47,0,2,0,1,0,1,0
O00158,C01773,R0066,2025-02-16 02:00:00,1040.3,6,Completed,DL00158,D0114,1.53,43,74.2,58.91,2,6,1,0,1,1,0
O00159,C00397,R0054,2025-01-23 10:00:00,772.53,2,Completed,DL00159,D0475,6.19,13,66.1,111.18,10,3,0,0,0,0,0
O00160,C01198,R0039,2025-01-29 16:00:00,688.95,1,Completed,DL00160,D0263,3.01,42,94.3,79.82,16,2,0,0,1,0,1
O00161,C01279,R0076,2025-01-30 22:00:00,814.94,6,Completed,DL00161,D0416,12.58,19,71.4,116.58,22,3,0,1,0,0,0
O00162,C00466,R0039,2025-01-13 17:00:00,1262.11,4,Completed,DL00162,D0404,11.95,32,93.3,130.65,17,0,0,0,1,0,0
O00163,C01953,R0078,2025-02-25 14:00:00,418.73,3,Cancelled,DL00163,D0320,3.45,17,74.9,50.98,14,1,0,0,0,0,1
O00164,C01301,R0030,2025-01-17 03:00:00,1565.59,4,Completed,DL00164,D0368,4.99,21,60.2,109.97,3,4,0,0,1,1,0
O00165,C01488,R0048,2025-01-31 04:00:00,1192.98,1,Completed,DL00165,D0043,8.98,27,81.3,177.74,4,4,0,1,0,0,1
O00166,C00847,R0083,2025-03-26 23:00:00,611.4,1,Completed,DL00166,D0356,4.49,12,45.5,33.56,23,2,0,0,1,0,0
O00167,C00502,R0031,2025-03-20 17:00:00,1052.19,1,Completed,DL00167,D0414,1.78,13,51.0,32.68,17,3,0,0,0,0,0
O00168,C00441,R0025,2025-02-08 02:00:00,1929.28,5,Completed,DL00168,D0316,11.71,30,73.6,257.45,2,5,1,0,1,0,0
O00169,C00069,R0068,2025-01-08 10:00:00,138.93,2,Completed,DL00169,D0477,2.28,18,67.3,12.82,10,2,0,0,1,0,1
O00170,C01533,R0051,2025-03-21 07:00:00,479.09,1,Completed,DL00170,D0156,10.49,37,103.4,35.12,7,4,0,1,0,0,1
O00171,C00326,R0013,2025-03-13 00:00:00,951.92,3,Completed,DL00171,D0040,3.1,24,37.0,58.33,0,3,0,1,0,0,0
O00172,C01766,R0100,2025-01-04 07:00:00,1313.04,2,Completed,DL00172,D0323,1.11,36,54.1,189.76,7,5,1,1,0,0,0
O00173,C00067,R0063,2025-01-19 14:00:00,503.23,2,Completed,DL00173,D0475,8.87,13,55.2,70.13,14,6,1,1,0,0,0
O00174,C00304,R0042,2025-02-01 21:00:00,1869.67,5,Cancelled,DL00174,D0469,4.99,35,65.9,248.13,21,5,1,1,0,1,0
O00175,C00972,R0054,2025-02-15 08:00:00,1320.89,4,Completed,DL00175,D0293,2.82,11,29.5,136.31,8,5,1,0,1,0,0
O00176,C00484,R0067,2025-02-28 03:00:00,1767.12,6,Completed,DL00176,D0355,10.59,30,80.4,88.73,3,4,0,0,1,0,0
O00177,C00929,R0080,2025-01-24 17:00:00,725.7,2,Completed,DL00177,D0315,10.02,27,73.7,95.87,17,4,0,0,1,0,0
O00178,C01572,R0090,2025-01-04 23:00:00,1675.01,2,Completed,DL00178,D0276,6.76,11,63.8,231.27,23,5,1,0,1,1,0
O00179,C01441,R0056,2025-03-06 20:00:00,818.62,1,Completed,DL00179,D0447,2.24,16,52.7,51.21,20,3,0,0,0,0,0
O00180,C01183,R0019,2025-02-23 11:00:00,580.23,3,Completed,DL00180,D0201,7.52,29,68.2,59.47,11,6,1,1,0,1,0
O00181,C00149,R0046,2025-01-11 07:00:00,1832.15,1,Completed,DL00181,D0163,2.46,25,46.6,36.81,7,5,1,1,0,0,0
O00182,C01051,R0015,2025-03-29 05:00:00,275.22,3,Completed,DL00182,D0314,14.92,23,77.0,33.6,5,5,1,1,0,0,0
O00183,C00987,R0032,2025-02-10 21:00:00,1891.49,2,Completed,DL00183,D0377,4.29,41,80.6,214.03,21,0,0,0,0,0,0
O00184,C00584,R0049,2025-01-12 03:00:00,971.18,3,Completed,DL00184,D0138,1.04,24,41.4,44.61,3,6,1,1,0,0,0
O00185,C00248,R0021,2025-03-11 07:00:00,1985.99,1,Completed,DL00185,D0241,4.08,39,62.7,102.83,7,1,0,1,0,0,0
O00186,C01125,R0065,2025-03-07 05:00:00,1125.23,1,Completed,DL00186,D0059,9.67,16,53.9,92.48,5,4,0,1,0,0,0
O00187,C00702,R0070,2025-01-31 15:00:00,1539.23,4,Completed,DL00187,D0373,14.67,33,94.3,162.61,15,4,0,0,1,0,0
O00188,C00096,R0027,2025-03-30 06:00:00,113.43,5,Completed,DL00188,D0149,8.36,26,74.8,13.07,6,6,1,0,1,0,1
