restaurant_id,restaurant_name,restaurant_category,city,total_orders,revenue,cancellation_rate,average_preparation_time,average_delivery_time,average_rating,restaurant_cluster,dbscan_cluster
R0039,Duran Group,Indian,Delhi,95,95191.31,6.315789473684211,27.736842105263158,74.2778947368421,3.4857142857142858,1,0
R0040,Kirby and Sons,North Indian,Hyderabad,86,95039.27,10.465116279069768,26.5,74.06744186046512,3.6129032258064515,0,0
R0041,Mann Inc,Indian,Chennai,89,93178.83,8.98876404494382,26.97752808988764,71.55955056179775,3.6031746031746033,0,0
R0042,Wagner LLC,Indian,Hyderabad,90,103595.28,8.88888888888889,25.744444444444444,73.43333333333334,3.590909090909091,0,0
R0043,Williamson Ltd,Indian,Delhi,84,82659.37,14.285714285714285,25.476190476190474,72.81904761904762,3.5517241379310347,0,1
R0044,"Durham, Hopkins and Smith",Italian,Mumbai,97,102852.65,13.402061855670103,25.896907216494846,76.84536082474227,3.611940298507463,0,0
R0045,"Arnold, Smith and Moreno",Desserts,Delhi,101,102761.16,8.91089108910891,25.752475247524753,73.85346534653465,3.7777777777777777,0,0
R0046,Nichols-Mitchell,South Indian,Mumbai,104,101485.76,8.653846153846153,25.625,75.83653846153847,3.2933333333333334,2,0
R0047,"Li, Craig and Drake",South Indian,Mumbai,94,107231.05,12.76595744680851,26.79787234042553,76.04468085106383,3.514705882352941,0,0
R0048,Rodriguez Inc,Indian,Bangalore,109,118774.12,8.256880733944955,27.98165137614679,77.31834862385321,3.684931506849315,2,0
R0049,"Hernandez, Lee and Fox",Italian,Chennai,86,92321.29,5.813953488372093,26.941860465116278,76.31976744186046,3.3275862068965516,1,0
R0050,Adams-Sanders,Italian,Delhi,101,110043.41,5.9405940594059405,27.801980198019802,76.15940594059407,3.4057971014492754,1,0
R0051,Chung-Stevens,Cafe,Mumbai,105,110785.52,7.6190476190476195,27.97142857142857,75.85714285714286,3.525,2,0
R0052,Branch and Sons,Indian,Delhi,104,111010.14,5.769230769230769,25.39423076923077,74.43653846153846,3.5064935064935066,2,0
R0053,Sutton-Abbott,North Indian,Delhi,93,93439.42,6.451612903225806,26.053763440860216,75.60645161290323,3.466666666666667,1,0
R0054,"Frey, Santos and Johnson",North Indian,Mumbai,116,118339.13,8.620689655172415,26.879310344827587,75.57327586206897,3.8,2,0
R0055,Gray-Tran,Chinese,Hyderabad,102,115535.68,6.862745098039216,26.372549019607842,75.94705882352942,3.575,2,0
R0056,Walsh Ltd,Desserts,Chennai,93,95589.77,4.301075268817205,28.817204301075268,77.28924731182795,3.77027027027027,1,0
R0057,Miller Group,Indian,Chennai,91,89708.97,7.6923076923076925,28.846153846153847,76.97802197802197,3.34375,1,0
R0058,"Mueller, Knight and Hodge",Chinese,Bangalore,107,114495.0,8.411214953271028,26.39252336448598,74.896261682243,3.6951219512195124,2,0
R0059,Jacobson Inc,North Indian,Bangalore,106,110897.17,6.60377358490566,26.12264150943396,74.72452830188679,3.670886075949367,2,0
R0060,Lewis Ltd,North Indian,Bangalore,103,106794.88,5.825242718446602,26.893203883495147,73.47766990291262,3.4722222222222223,2,0
R0061,"Alvarez, Williams and Jones",Indian,Chennai,102,106018.13,11.76470588235294,25.607843137254903,74.96960784313725,3.449275362318841,0,0
R0062,Lam-Elliott,Chinese,Hyderabad,98,102204.91,4.081632653061225,26.489795918367346,73.43163265306123,3.596774193548387,2,0
R0063,White LLC,Chinese,Chennai,114,118688.07,7.894736842105263,25.00877192982456,74.21754385964911,3.7848101265822787,2,0
R0064,Ali PLC,Indian,Chennai,82,89280.86,9.75609756097561,26.23170731707317,75.99634146341464,3.641509433962264,0,0
R0065,Goodwin Ltd,Desserts,Chennai,88,100585.31,10.227272727272728,26.147727272727273,71.46931818181818,3.6037735849056602,0,0
R0066,Hickman-Evans,Cafe,Chennai,102,102342.03,11.76470588235294,27.715686274509803,75.17843137254901,3.92,0,0
R0067,"Allen, Davenport and Price",Chinese,Hyderabad,97,102586.26,5.154639175257731,27.95876288659794,78.47319587628866,3.484375,1,0
R0068,"Rivera, Campos and Taylor",Cafe,Bangalore,101,107106.67,7.920792079207921,26.93069306930693,74.8990099009901,3.4166666666666665,2,0
R0069,"Ramsey, Mason and Mccann",Fast Food,Delhi,91,89032.6,6.593406593406594,27.615384615384617,78.65054945054945,3.4098360655737703,1,0
R0070,Davis and Sons,Desserts,Bangalore,93,100850.77,7.526881720430108,27.27956989247312,77.09247311827957,3.742424242424242,1,0
R0071,Peterson PLC,North Indian,Bangalore,110,110101.19,3.6363636363636362,26.745454545454546,73.55272727272727,3.41025641025641,2,0
R0072,"Sanders, Ayala and Johnson",South Indian,Delhi,98,102154.59,6.122448979591836,28.316326530612244,75.07857142857142,3.891891891891892,1,0
R0073,Bowers-Hayes,Desserts,Chennai,94,92113.12,5.319148936170213,27.659574468085108,77.14893617021276,3.8333333333333335,1,0
R0074,Kelly Group,Cafe,Hyderabad,104,105603.88,5.769230769230769,27.35576923076923,75.29423076923078,3.581081081081081,2,0
R0075,Lopez-Willis,Cafe,Hyderabad,102,103857.01,5.88235294117647,28.333333333333332,74.78333333333333,3.8714285714285714,1,0
R0076,Miller-Montgomery,Cafe,Bangalore,92,92571.77,6.521739130434782,28.47826086956522,78.0945652173913,3.507042253521127,1,0
R0077,Marquez Inc,Italian,Delhi,105,117944.84,7.6190476190476195,25.942857142857143,74.97619047619048,3.3376623376623376,2,0
R0078,Moore-Dawson,Desserts,Mumbai,103,101229.38,10.679611650485436,27.02912621359223,75.95339805825243,3.5142857142857142,0,0
R0079,"Moore, Price and Ward",Chinese,Chennai,94,97591.59,8.51063829787234,27.0,71.26808510638298,4.095238095238095,0,-1
R0080,Smith LLC,Chinese,Bangalore,98,88270.43,5.1020408163265305,26.448979591836736,73.81122448979592,3.647887323943662,1,0
R0081,Ward-Nelson,Italian,Hyderabad,122,133187.44,10.655737704918032,25.237704918032787,73.74426229508197,3.6292134831460676,2,-1
R0082,Miller Group,Chinese,Delhi,89,92684.76,3.3707865168539324,27.50561797752809,79.12022471910112,3.7666666666666666,1,0
R0083,Hawkins-Hunt,Italian,Delhi,90,103853.7,6.666666666666667,26.466666666666665,79.76222222222222,3.634920634920635,1,0
R0084,Johnson LLC,Cafe,Bangalore,102,112975.53,11.76470588235294,26.970588235294116,74.19313725490196,3.6052631578947367,0,0
R0085,"Davis, George and Nguyen",Indian,Mumbai,109,121064.3,7.339449541284404,28.31192660550459,76.80550458715595,3.9012345679012346,2,0
R0086,Smith-Gutierrez,Desserts,Hyderabad,102,110565.52,6.862745098039216,26.774509803921568,73.03235294117647,3.7051282051282053,2,0
R0087,Hardy PLC,Fast Food,Bangalore,91,107612.09,8.791208791208792,25.296703296703296,74.89010989010988,3.5901639344262297,0,0
R0088,Armstrong and Sons,Cafe,Mumbai,110,114618.66,4.545454545454546,26.536363636363635,72.83181818181818,3.588235294117647,2,0
R0089,"James, Taylor and Turner",Fast Food,Delhi,107,101563.92,4.672897196261682,26.757009345794394,73.92990654205607,3.485294117647059,2,0
R0090,Thomas-Jackson,North Indian,Chennai,83,88696.01,10.843373493975903,28.216867469879517,76.09759036144578,3.609375,1,0
R0091,Fisher-Washington,Cafe,Hyderabad,100,100784.85,5.0,26.18,73.589,3.5277777777777777,2,0
R0092,Ward and Sons,South Indian,Hyderabad,103,106296.26,5.825242718446602,26.95145631067961,74.24563106796117,3.736111111111111,2,0
R0093,"Weber, Wheeler and Gonzalez",Chinese,Mumbai,99,92077.0,11.11111111111111,27.060606060606062,73.40707070707072,3.5074626865671643,0,0
R0094,Taylor Inc,South Indian,Bangalore,85,104928.04,9.411764705882353,26.16470588235294,75.59294117647059,3.7666666666666666,0,0
R0095,Cook-Oliver,Indian,Delhi,109,119832.19,5.5045871559633035,25.678899082568808,71.88256880733945,3.6506024096385543,2,0
R0096,Alexander-Jordan,Fast Food,Mumbai,105,107847.75,11.428571428571429,26.923809523809524,75.44190476190475,3.518987341772152,0,0
R0097,"Mccann, Taylor and Flores",Desserts,Chennai,108,113250.54,2.7777777777777777,26.85185185185185,77.75925925925925,3.3424657534246576,2,0
R0098,"Harris, Edwards and Oconnell",Cafe,Chennai,107,100071.51,9.345794392523365,27.27102803738318,75.47757009345794,3.735294117647059,0,0
R0099,Carter-Neal,Desserts,Chennai,87,95539.94,4.597701149425287,26.689655172413794,73.82988505747126,3.5689655172413794,1,0
R0100,Faulkner-Casey,Indian,Mumbai,119,135045.87,8.403361344537815,27.470588235294116,76.93361344537816,3.4050632911392404,2,-1
