driver_id,driver_age,vehicle_type,driver_rating,experience_years
D0094,23,Scooter,3.4,1
D0095,43,Scooter,3.1,10
D0096,41,Scooter,4.2,8
D0097,43,Car,3.7,6
D0098,24,Bike,3.6,6
D0099,41,Bike,4.6,9
D0100,51,Bike,3.7,4
D0101,41,Bike,3.6,8
D0102,46,Scooter,4.7,4
D0103,44,Scooter,4.7,2
D0104,31,Scooter,3.7,8
D0105,49,Bike,4.7,7
D0106,23,Bike,4.7,4
D0107,21,Bike,3.8,9
D0108,39,Scooter,3.1,9
D0109,42,Bike,3.0,8
D0110,34,Scooter,4.0,1
D0111,34,Scooter,3.7,7
D0112,36,Scooter,5.0,5
D0113,53,Bike,4.5,7
D0114,33,Scooter,4.5,9
D0115,32,Scooter,4.9,2
D0116,53,Scooter,4.8,4
D0117,53,Bike,3.6,4
D0118,49,Scooter,3.3,2
D0119,25,Scooter,4.5,3
D0120,26,Bike,3.8,8
D0121,51,Bike,3.9,9
D0122,36,Car,4.3,6
D0123,51,Bike,4.8,10
D0124,45,Bike,3.8,2
D0125,53,Bike,4.6,2
D0126,33,Scooter,3.5,7
D0127,30,Bike,4.4,8
D0128,44,Scooter,3.0,8
D0129,30,Bike,4.7,6
D0130,51,Bike,3.1,10
D0131,33,Scooter,4.4,8
D0132,23,Bike,3.1,1
D0133,54,Car,3.5,9
D0134,48,Bike,4.0,1
D0135,39,Bike,3.8,3
D0136,43,Bike,3.4,9
D0137,52,Bike,3.7,5
D0138,33,Car,4.5,9
D0139,53,Scooter,4.3,9
D0140,54,Bike,3.1,6
D0141,53,Scooter,4.5,1
D0142,25,Scooter,3.1,10
D0143,23,Bike,4.1,7
D0144,27,Bike,3.5,6
D0145,44,Car,4.2,9
D0146,42,Car,3.5,7
D0147,43,Car,5.0,4
D0148,50,Scooter,3.6,7
D0149,38,Scooter,3.5,2
D0150,52,Bike,3.6,6
D0151,27,Bike,4.8,6
D0152,53,Bike,4.3,2
D0153,25,Scooter,4.5,4
D0154,48,Scooter,4.8,8
D0155,28,Scooter,4.8,8
D0156,35,Car,4.5,8
D0157,24,Scooter,3.4,8
D0158,54,Car,4.7,1
D0159,25,Bike,3.4,2
D0160,53,Scooter,4.5,4
D0161,25,Scooter,4.4,9
D0162,54,Bike,4.5,3
D0163,46,Car,4.1,6
D0164,21,Scooter,4.3,7
D0165,24,Bike,4.9,8
D0166,46,Bike,3.2,7
D0167,53,Scooter,3.6,3
D0168,53,Scooter,4.2,6
D0169,28,Car,4.9,5
D0170,40,Bike,3.2,10
D0171,36,Bike,3.0,4
D0172,41,Bike,3.1,1
D0173,46,Bike,3.1,7
D0174,43,Bike,4.8,8
D0175,38,Car,4.4,2
D0176,51,Bike,4.4,7
D0177,32,Bike,4.0,6
D0178,21,Bike,4.6,5
D0179,29,Bike,3.3,4
D0180,23,Scooter,3.8,2
D0181,46,Scooter,4.0,10
D0182,29,Scooter,3.2,6
D0183,36,Bike,3.8,5
D0184,44,Bike,3.6,2
D0185,34,Scooter,3.1,10
D0186,23,Bike,3.3,7
D0187,54,Scooter,4.5,6
D0188,53,Bike,3.0,9
D0189,44,Scooter,4.9,10
D0190,29,Bike,3.2,5
D0191,33,Scooter,4.6,9
D0192,22,Car,4.8,9
D0193,27,Scooter,4.9,1
D0194,41,Scooter,4.7,5
D0195,39,Car,3.6,9
D0196,45,Scooter,3.7,7
D0197,42,Bike,3.9,6
D0198,31,Bike,3.3,6
D0199,53,Scooter,3.0,7
D0200,52,Scooter,4.7,1
D0201,41,Bike,4.1,4
D0202,40,Bike,4.2,1
D0203,28,Car,4.9,6
D0204,29,Bike,4.3,4
D0205,45,Bike,4.4,1
D0206,45,Bike,4.6,9
D0207,53,Scooter,3.2,4
D0208,22,Bike,3.7,6
D0209,39,Scooter,4.9,7
D0210,40,Bike,4.8,8
D0211,49,Scooter,4.8,9
D0212,26,Scooter,3.9,9
D0213,37,Bike,4.7,8
D0214,45,Scooter,3.1,10
D0215,24,Bike,3.3,3
D0216,50,Bike,3.8,2
D0217,40,Scooter,4.0,5
D0218,23,Bike,3.5,1
D0219,43,Scooter,3.7,3
D0220,38,Bike,3.3,1
D0221,46,Bike,4.0,3
D0222,28,Bike,4.6,4
D0223,37,Scooter,4.3,7
D0224,51,Scooter,3.2,5
D0225,53,Scooter,4.0,5
D0226,47,Bike,4.4,1
D0227,24,Bike,4.1,8
D0228,42,Scooter,3.8,4
D0229,46,Scooter,4.2,10
D0230,52,Bike,4.9,5
D0231,44,Scooter,3.2,2
D0232,52,Bike,3.8,1
D0233,27,Scooter,3.8,9
D0234,53,Scooter,4.2,2
D0235,51,Scooter,3.3,6
D0236,32,Scooter,3.4,1
D0237,31,Bike,3.6,1
D0238,44,Scooter,4.9,9
D0239,28,Scooter,4.5,4
D0240,52,Bike,4.3,9
D0241,42,Scooter,4.6,5
D0242,54,Car,3.3,7
D0243,39,Scooter,4.7,1
D0244,40,Bike,4.2,6
D0245,34,Scooter,3.7,8
D0246,53,Scooter,4.6,1
D0247,30,Bike,4.6,9
D0248,36,Scooter,4.7,3
D0249,24,Scooter,3.2,1
D0250,47,Bike,4.9,1
D0251,48,Bike,4.9,6
D0252,36,Scooter,3.7,6
D0253,53,Car,3.1,1
D0254,39,Scooter,3.3,3
D0255,41,Scooter,5.0,7
D0256,42,Bike,4.1,10
D0257,29,Bike,3.7,3
D0258,29,Scooter,3.6,3
D0259,29,Bike,3.5,3
D0260,47,Scooter,4.3,7
D0261,37,Bike,3.8,4
D0262,28,Bike,4.9,4
D0263,36,Bike,4.4,3
D0264,38,Car,4.6,10
D0265,53,Bike,3.6,9
D0266,21,Bike,3.2,2
D0267,32,Bike,4.0,4
D0268,26,Scooter,3.6,8
D0269,25,Bike,3.4,6
D0270,36,Bike,4.9,7
D0271,38,Bike,3.9,7
D0272,38,Scooter,3.3,2
D0273,21,Bike,3.4,4
D0274,39,Bike,3.6,10
D0275,28,Bike,5.0,10
D0276,23,Scooter,3.5,6
D0277,45,Scooter,3.7,3
D0278,25,Scooter,4.3,9
D0279,39,Car,3.6,4
D0280,38,Car,3.4,10
D0281,51,Bike,3.3,2
D0282,53,Scooter,3.6,6
D0283,38,Scooter,3.2,1
D0284,36,Scooter,3.0,6
D0285,36,Bike,4.6,10
D0286,27,Scooter,3.3,1
D0287,34,Bike,4.6,8
D0288,45,Scooter,4.6,5
D0289,52,Bike,4.1,6
D0290,42,Bike,3.6,2
D0291,36,Bike,3.3,2
D0292,49,Bike,4.5,9
D0293,36,Scooter,4.2,3
D0294,32,Bike,4.3,6
D0295,37,Bike,3.0,10
D0296,47,Car,4.9,5
D0297,45,Bike,3.1,4
D0298,33,Scooter,3.7,10
D0299,28,Bike,3.8,2
D0300,25,Bike,3.0,8
D0301,32,Scooter,4.0,10
D0302,23,Scooter,4.5,7
D0303,53,Bike,4.6,2
D0304,42,Car,4.8,6
D0305,29,Car,4.0,8
D0306,38,Car,4.3,7
D0307,49,Bike,3.2,1
D0308,47,Bike,4.0,5
D0309,37,Scooter,3.3,2
D0310,54,Scooter,3.7,6
D0311,23,Bike,3.7,7
D0312,25,Scooter,3.8,7
D0313,34,Bike,4.1,3
D0314,23,Scooter,4.8,7
D0315,43,Bike,3.8,5
D0316,50,Scooter,5.0,8
D0317,43,Bike,4.5,8
D0318,47,Scooter,4.0,7
D0319,30,Scooter,4.3,6
D0320,45,Scooter,3.2,2
D0321,33,Car,4.7,6
D0322,36,Scooter,4.2,9
D0323,54,Car,5.0,2
D0324,42,Bike,4.3,1
D0325,37,Bike,4.7,5
D0326,43,Bike,4.6,6
D0327,29,Bike,3.7,3
D0328,22,Scooter,3.5,8
D0329,52,Bike,3.9,7
D0330,42,Scooter,3.9,2
D0331,33,Scooter,3.5,7
D0332,28,Scooter,4.8,1
D0333,21,Scooter,4.1,9
D0334,37,Scooter,5.0,7
D0335,32,Bike,4.6,6
D0336,24,Bike,4.1,2
D0337,33,Scooter,4.9,3
D0338,51,Scooter,4.0,1
D0339,27,Bike,4.8,10
D0340,43,Scooter,3.7,5
D0341,44,Bike,3.8,9
D0342,25,Bike,3.8,6
D0343,25,Bike,4.1,5
D0344,37,Scooter,4.1,3
D0345,50,Scooter,4.0,5
D0346,29,Bike,3.6,8
D0347,26,Bike,4.9,2
D0348,45,Scooter,4.2,5
D0349,39,Bike,3.8,6
D0350,36,Bike,4.3,10
D0351,41,Scooter,4.5,8
D0352,22,Bike,4.9,8
D0353,30,Scooter,4.0,5
D0354,36,Bike,3.2,9
D0355,35,Scooter,3.9,4
D0356,33,Scooter,4.0,9
D0357,33,Scooter,4.8,7
D0358,52,Bike,3.8,6
D0359,28,Scooter,4.9,4
D0360,38,Scooter,4.0,2
D0361,46,Scooter,4.9,8
D0362,30,Scooter,3.0,6
D0363,51,Scooter,4.8,3
D0364,53,Car,4.9,7
D0365,49,Bike,4.9,10
D0366,25,Bike,3.0,7
D0367,33,Scooter,3.3,6
D0368,21,Bike,4.3,2
D0369,43,Car,3.1,8
D0370,23,Scooter,3.1,1
D0371,23,Scooter,3.4,1
D0372,27,Bike,4.0,6
D0373,35,Bike,4.1,5
D0374,23,Scooter,3.1,9
D0375,49,Car,3.3,7
D0376,50,Car,4.0,2
D0377,38,Bike,4.2,7
D0378,31,Bike,3.3,3
D0379,21,Bike,3.8,1
D0380,49,Scooter,4.8,8
D0381,30,Bike,5.0,3
D0382,48,Bike,5.0,8
D0383,51,Bike,4.8,7
D0384,39,Bike,3.8,2
D0385,23,Car,4.4,1
D0386,35,Scooter,3.8,7
D0387,53,Bike,4.3,1
D0388,46,Bike,3.6,6
D0389,36,Bike,4.2,10
D0390,53,Bike,4.0,10
D0391,40,Bike,3.0,8
D0392,33,Scooter,4.6,7
D0393,53,Bike,3.0,4
D0394,25,Bike,3.6,1
D0395,34,Bike,3.0,1
D0396,47,Scooter,3.8,4
D0397,43,Scooter,3.1,5
D0398,34,Scooter,4.8,7
D0399,24,Scooter,3.8,4
D0400,39,Scooter,3.9,10
D0401,24,Bike,3.7,1
D0402,50,Car,4.3,10
D0403,39,Bike,4.6,7
D0404,51,Bike,4.3,2
D0405,51,Scooter,4.5,2
D0406,29,Bike,4.8,8
D0407,33,Car,4.7,10
D0408,34,Scooter,4.3,10
D0409,30,Scooter,3.4,10
D0410,51,Scooter,4.3,5
D0411,43,Car,4.0,10
D0412,47,Car,4.4,2
D0413,26,Scooter,4.7,5
D0414,46,Scooter,4.5,8
D0415,22,Bike,4.7,6
D0416,33,Bike,3.1,3
D0417,39,Scooter,3.1,8
D0418,21,Car,3.5,9
D0419,52,Scooter,4.8,5
D0420,42,Car,4.6,2
D0421,49,Scooter,4.4,2
D0422,22,Bike,4.4,7
D0423,31,Bike,4.5,1
D0424,37,Bike,4.9,10
D0425,28,Bike,4.7,2
D0426,42,Scooter,4.2,10
D0427,24,Car,4.3,4
D0428,31,Scooter,3.4,1
D0429,28,Bike,4.3,4
D0430,29,Bike,3.8,10
D0431,46,Bike,3.3,5
D0432,22,Scooter,4.6,9
D0433,36,Bike,4.0,1
D0434,51,Bike,5.0,5
D0435,26,Bike,3.6,2
D0436,41,Bike,4.0,9
D0437,46,Car,3.9,6
D0438,39,Bike,3.2,2
D0439,48,Bike,3.9,3
D0440,28,Bike,3.6,8
D0441,34,Bike,3.3,1
D0442,44,Scooter,3.6,3
D0443,46,Scooter,3.5,10
D0444,51,Scooter,4.5,1
D0445,52,Scooter,3.1,8
D0446,22,Bike,4.2,1
D0447,45,Scooter,4.5,5
D0448,22,Bike,4.0,4
D0449,21,Bike,4.9,7
D0450,32,Scooter,4.4,5
D0451,29,Scooter,4.5,8
D0452,48,Scooter,3.4,1
D0453,53,Bike,4.6,5
D0454,42,Bike,4.7,4
D0455,45,Car,3.7,3
D0456,38,Bike,3.4,5
D0457,26,Bike,3.8,10
D0458,38,Bike,4.5,3
D0459,36,Bike,3.8,8
D0460,35,Bike,4.5,3
D0461,28,Scooter,3.2,1
D0462,33,Scooter,4.6,9
D0463,27,Car,3.5,9
D0464,37,Bike,3.5,6
D0465,52,Bike,4.2,10
D0466,42,Scooter,3.1,1
D0467,33,Scooter,3.1,8
D0468,43,Scooter,3.5,2
D0469,49,Scooter,4.1,9
D0470,42,Bike,4.8,8
D0471,21,Scooter,4.7,3
D0472,49,Scooter,4.0,5
D0473,25,Bike,3.1,9
D0474,30,Scooter,4.1,1
D0475,39,Scooter,4.4,9
D0476,27,Bike,3.7,4
D0477,33,Bike,3.2,4
D0478,30,Bike,3.6,4
D0479,22,Scooter,4.5,10
D0480,26,Bike,3.7,9
D0481,28,Bike,4.6,6
D0482,45,Bike,3.6,8
D0483,27,Scooter,3.3,4
D0484,43,Scooter,3.9,3
D0485,39,Scooter,3.9,1
D0486,42,Bike,3.0,10
D0487,33,Car,3.2,7
D0488,41,Scooter,3.4,4
D0489,21,Scooter,3.2,8
D0490,39,Bike,3.7,3
D0491,53,Bike,4.9,1
D0492,24,Scooter,4.0,5
D0493,23,Bike,4.3,2
D0494,47,Scooter,3.7,3
D0495,48,Scooter,3.6,6
D0496,26,Scooter,3.0,3
D0497,26,Car,4.0,3
D0498,43,Scooter,4.0,6
D0499,53,Bike,3.3,5
D0500,36,Bike,4.5,10
